sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
109973UL,Eichholtz Arlington Table Lamp,EICHHOLTZ,Lighting > Table Lamps,1245,25%,933.75,"Crystal glass | gold finish
Including white shade

14.9""W x 7.8""D x 26.57H

Reflecting the beauty of your furniture arrangement, the sculptural Arlington Table Lamp evokes an enchanting interior ambience. The modern lamp base has a clear crystal glass frame with gold finish and comes with a black right-angled lampshade.","109973UL-1, 109973UL-2",14.9,7.8,26.57
111847UL,Eicholtz Lucal L Wall Lamp ,EICHHOLTZ,Lighting > Wall Sconces,825,25%,618.75,"Antique brass finish

16.93"" x 8.27"" H x 13.39"" D | adjustable


The lovely Luca L Wall Lamp is great for using as a poster or picture light. It features an antique brass finish and has two multi-directional and lockable swivel joints to allow you to direct the light light anyway you wish.","111847UL-1, 111847UL-2, 111847UL-3, 111847UL-4, 111847UL-5, 111847UL-6",16.93,8.27,13.39
111846UL,Eicholtz Lucal S Wall Lamp ,EICHHOLTZ,Lighting > Wall Sconces,750,25%,562.5,"Antique brass finish

11.81"" x 8.27"" H x 13.39"" D | adjustable


The lovely Luca S Wall Lamp is great for using as a poster or picture light. It features an antique brass finish and has two multi-directional and lockable swivel joints to allow you to direct the light light anyway you wish.","111846UL-1, 111846UL-2, 111846UL-3, 111846UL-4, 111846UL-5, 111846UL-6",11.81,8.27,13.39
111845UL,Eicholtz Lucal L Wall Lamp ,EICHHOLTZ,Lighting > Wall Sconces,825,25%,618.75,"Nickel finish

16.93"" x 8.27"" H x 13.39"" D | adjustable

The lovely Luca L Wall Lamp is great for using as a poster or picture light. It features a nickel finish and has two multi-directional and lockable swivel joints to allow you to direct the light light anyway you wish.
","111845UL-1, 111845UL-2, 111845UL-3, 111845UL-4, 111845UL-5",16.93,8.27,13.39
111844UL,Eicholtz Lucal S Wall Lamp ,EICHHOLTZ,Lighting > Wall Sconces,750,25%,562.5,"Nickel finish

11.81"" x 8.27"" H x 13.39"" D | adjustable

The lovely Luca S Wall Lamp is great for using as a poster or picture light. It features a nickel finish and has two multi-directional and lockable swivel joints to allow you to direct the light light anyway you wish.","111844UL-1, 111844UL-2, 111844UL-3, 111844UL-4, 111844UL-5",11.81,8.27,13.39
113336,Eichholtz Callum Coffee Table ,EICHHOLTZ,Tables > Cocktail Tables,9105,25%,6828.75,"Brushed brass finish | smoke glass | mirror glass

29.53"" x 29.53"" x 18.9"" H | 29.53"" x 29.53"" x 14.17"" H

Evoke the seductive style of the seventies with the decadent Callum Coffee Table. Its brushed brass frame with bevelled rims surrounds the tabletops of smoke glass and the bottom shelves of mirror glass. Whether you are going for a retro or contemporary look, this stylish coffee table will be a perfect choice.","113336-1, 113336-2, 113336-3, 113336-4, 113336-5, 113336-6, 113336-7",29.53,29.53,18.9
113962,Eichholtz Nerone Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,2970,25%,2227.5,"Charcoal grey oak veneer | brushed brass finish

44.88"" x 44.88"" x 15.75"" H

Give your living room a real modern feel with the square Nerone Coffee Table in charcoal grey oak veneer, that is both supremely stylish and surprisingly functional. Composed of four different levels, the quartered top lends this coffee table a bang on-trend look.","113962-1, 113962-2, 113962-3, 113962-4, 113962-5, 113962-6, 113962-7",44.88,44.88,15.75
113961,Eichholtz Nio Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,6165,25%,4623.75,"Brushed brass finish | black glass | black base

15.75""/31.5"" x 31.5"" x 9.06"" H | tray 15.75"" x 15.75"" x 3.94"" H

The 4-piece Nio Coffee Table set has a balanced look for your living room. It consists of 2 L-shaped coffee tables and 2 square trays. Sitting on a black base and adorned with brushed brass rims, each piece has a surface of black glass. You can put the trays anywhere you want on the tabletop, as a place to set beverages and decorative items such as books, bowls and candle holders.","113961-1, 113961-2, 113961-3, 113961-4, 113961-5, 113961-6",31.5,31.5,9.06
111415,Eichholtz Tortona Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,6270,25%,4702.5,"Gold finish | bevelled glass
Bevelled mirror glass | black base

25.59"" x 25.59"" x 15.75"" H | 25.59"" x 25.59"" x 12.6"" H

Create a fantastic focal point in your lounge with the alluring set of 4 Tortona Coffee Tables. Comprising two high and two low tables that are accented by a sleek gold finish frame, each of these square furniture pieces features a tabletop and lower shelf of bevelled mirror glass.","111415-1, 111415-2, 111415-3, 111415-4, 111415-5",25.59,25.59,15.75
111074,Eichholtz Tortona Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,5190,25%,3892.5,"Polished stainless steel | bevelled glass
Bevelled mirror glass | black base

25.59"" x 25.59"" x 15.75"" H | 25.59"" x 25.59"" x 12.6"" H

Create a fantastic focal point in your lounge with the alluring set of 4 Tortona Coffee Tables. Comprising two high and two low tables that are accented by a sleek polished stainless steel frame, each of these square furniture pieces features a tabletop and lower shelf of bevelled mirror glass.","111074-1, 111074-2, 111074-3, 111074-4, 111074-5, 111074-6, 111074-7",25.59,25.59,15.75
114780,Eichholtz Napa Valley Desk,EICHHOLTZ,Desks,3735,25%,2801.25,"Woven washed oak veneer | brushed brass finish | clear glass

53.15"" x 23.62"" x 29.72"" H

Pairing Bauhaus style with a Mid-Century Modern look, the Napa Valley Desk showcases a sleek frame with brushed brass finish, a clear glass top and a drawer of woven washed oak veneer.","114780-1, 114780-2",53.15,23.62,29.72
114778,Eichholtz Napa Valley Dresser,EICHHOLTZ,Dressers,6240,25%,4680,"Woven washed oak veneer | brushed brass finish

66.93"" x 18.11"" x 29.53"" H

Pairing Bauhaus style with a Mid-Century Modern look, the Napa Valley Dresser showcases a sleek brushed brass finished frame. It is lined with woven washed oak veneer and contains 4 doors and a drawer with stainless steel handle.","114778-1, 114778-2, 114778-3, 114778-4, 114778-5, 114778-6, 114778-7",66.93,18.11,29.53
113396,Eichholtz Napa Valley Dresser,EICHHOLTZ,Dressers,6240,25%,4680,"Woven oak veneer | bronze finish

66.93"" x 18.11"" x 29.53"" H

Pairing Bauhaus style with a Mid-Century Modern look, the Napa Valley Dresser showcases a sleek stainless steel frame. It is lined with woven oak veneer and contains 4 doors and a drawer with stainless steel handle.
","113396-1, 113396-2, 113396-3, 113396-4, 113396-5",66.93,18.11,29.53
