sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
107461,Eichholtz Marceau Column,EICHHOLTZ,Accessories > Pedestals ,2145,25%,1608.75,"Waxed black finish

17.32"" x 17.32"" x 40.55"" H

With its classic design, the Marceau Column will be a stylish and elegant addition to your interior. Featuring four panelled sides and a black finish, this decorative column will look great in your hallway, living area or dining room.","107461-1, 107461-2, 107461-3, 107461-4, 107461-5, 107461-6",17.32,17.32,40.55
113669,Eichholtz Carlow Console Table,EICHHOLTZ,Tables > Console Tables,4320,25%,3240,"Polished stainless steel

61.02"" x 17.72"" x 29.92"" H

The Carlow Console Table adorns your hallway or lounge with its simple geometry and dynamic sense of style. Skillfully crafted from stainless steel, it is presented in a polished finish for a lavish and glamorous look.","113669-1, 113669-2, 113669-3",61.02,17.72,29.92
112691,Eichholtz Carlow Console Table,EICHHOLTZ,Tables > Console Tables,4710,25%,3532.5,"Gold finish

61.02"" x 17.72"" x 29.92"" H

The Carlow Console Table adorns your hallway or lounge with its simple geometry and dynamic sense of style. Skillfully crafted with sturdy steel, it is presented in a glamorous gold finish for a lavish look.","112691-1, 112691-2, 112691-3, 112691-4, 112691-5",61.02,17.72,29.92
A114054,Eichholtz Burbury Sofa,EICHHOLTZ,Seating > Sofas,9360,25%,7020,"Avalon white | black feet

A. 125.98"" | B. 43.31"" | C. 25.2"" | D. 36.22"" | E. 15.75"" | F. 25.2""

Sofa Burbury pairs contemporary style with a magnificent seating experience. You will love the comfort and softness that its feather cushions provide. Laze in the deep and comfy shape of this modern coach, while enjoying me-time or the company of family and friends. The crisp white of the upholstery will light up your living room and make it look more spacious.","A114054-1, A114054-2",125.98,43.31,25.2
A114011,Eichholtz Burbury Lounge Sofa,EICHHOLTZ,Seating > Sofas,9975,25%,7481.25,"Avalon white | black feet

A. 125.98"" | B. 78.74"" | C. 25.2"" | D. 36.22"" | E. 16.93"" | F. 25.2""

Lounge Sofa Burbury pairs contemporary style with a magnificent seating experience. You will love the comfort and softness that its feather cushions provide. Laze in the deep and comfy shape of this modern coach, while enjoying me-time or the company of family and friends. The crisp white of the upholstery will light up your living room and make it look more spacious.","A114011-1, A114011-2, A114011-3, A114011-4, A114011-5",125.98,78.74,25.2
A114059,Eichholtz Burbury Chair,EICHHOLTZ,Seating > Occasional Chairs,3735,25%,2801.25,"Avalon white | black feet

A. 43.31"" | B. 43.31"" | C. 25.2"" | D. 36.22"" | E. 15.75"" | F. 25.2""

Chair Burbury pairs contemporary style with a magnificent seating experience. You will love the comfort and softness that its feather cushions provide. Laze in the deep and comfy shape of this modern armchair, while enjoying me-time. The crisp white of the upholstery will light up your living room and make it look more spacious.","A114059-1, A114059-2",43.31,43.31,25.2
A114319,Eichholtz Endless Chair,EICHHOLTZ,Seating > Occasional Chairs,3735,25%,2801.25,"Avalon white | black finish

A. 43.31"" | B. 42.52"" | C. 25.2"" | D. 34.25"" | E. 16.14"" | F. 25.2""

Supported by sturdy black feet, Chair Endless has a crisp avalon white upholstery. Loose back cushions add an airy touch and provide optimal comfort. Use this ultra-stylish armchair as a modern accent piece or combine with the sofa and ottoman from this series for a flexible seating group that meets all your wishes and needs.","A114319-1, A114319-2",43.31,42.52,25.2
A114290,Eichholtz Endless Sofa,EICHHOLTZ,Seating > Sofas,11445,25%,8583.75,"Avalon white | black finish

90.94"" x 43.31"" | 71.65"" x 43.31"" | 43.31"" x 43.31"" | C. 25.19"" | D. 34.25"" | E. 16.14""

Including an in-built side table in dark brown veneer, Sofa Endless offers loads of set-up possibilities. This ultra-stylish sofa has sturdy black feet and a crisp avalon white upholstery. Loose back cushions add an airy touch and provide optimal comfort. Enjoy the possibility to create a flexible seating group that meets all your wishes and needs in terms of set-up and ease, especially when combined with the armchair and ottoman from this series.","A114290-1, A114290-2, A114290-3, A114290-4, A114290-5, A114290-6, A114290-7, A114290-8, A114290-9",249,43.31,25.19
A114320,Eichholtz Endless Ottoman,EICHHOLTZ,Seating > Benches & Ottomans,2490,25%,1867.5,"Avalon white | black finish

42.52"" x 42.52"" x 16.14"" H

Perfect for upgrading your living room or bedroom, Ottoman Endless adds sophisticated style to any space in your home. Its cushioned top has a crisp avalon white upholstery and offers a convenient place to sit. Providing gentle opulence while entertaining or relaxing, this versatile ottoman can be combined with the sofa and chair from this series for a flexible and ultra-stylish seating group.","A114320-1, A114320-2, A114320-3",42.52,42.52,16.14
A114824,Eichholtz Endless Sofa,EICHHOLTZ,Seating > Sofas,11445,25%,8583.75,"Avalon sand | black finish

90.94"" x 43.31"" | 71.65"" x 43.31"" | 43.31"" x 43.31"" | C. 25.19"" | D. 34.25"" | E. 16.14""

Including an in-built side table in dark brown veneer, Sofa Endless offers loads of set-up possibilities. This ultra-stylish sofa has sturdy black feet and a warm avalon sand upholstery. Loose back cushions add an airy touch and provide optimal comfort. Enjoy the possibility to create a flexible seating group that meets all your wishes and needs in terms of set-up and ease, especially when combined with the armchair and ottoman from this series.","A114824-1, A114824-2, A114824-3, A114824-4, A114824-5, A114824-6, A114824-7",249,43.31,25.19
A114823,Eichholtz Endless Chair,EICHHOLTZ,Seating > Occasional Chairs,3735,25%,2801.25,"Avalon sand | black finish

A. 43.31"" | B. 42.52"" | C. 25.2"" | D. 34.25"" | E. 16.54"" | F. 25.2""

Supported by sturdy black feet, Chair Endless has a warm avalon sand upholstery. Loose back cushions add an airy touch and provide optimal comfort. Use this ultra-stylish armchair as a modern accent piece or combine with the sofa and ottoman from this series for a flexible seating group that meets all your wishes and needs.
","A114823-1, A114823-2",43.31,42.52,25.2222
A114822,Eichholtz Endless Ottoman ,EICHHOLTZ,Seating > Benches & Ottomans,2490,25%,1867.5,"Avalon sand | black finish

42.52"" x 42.52"" x 16.14"" H

Perfect for upgrading your living room or bedroom, Ottoman Endless adds sophisticated style to any space in your home. Its cushioned top has a warm avalon sand upholstery and offers a convenient place to sit. Providing gentle opulence while entertaining or relaxing, this versatile ottoman can be combined with the sofa and chair from this series for a flexible and ultra-stylish seating group.","A114822-1, A114822-2, A114822-3, A114822-4",42.52,42.52,16.14
A113357,Eichholtz Aurelio Left Lounge Sofa,EICHHOLTZ,Seating > Chaises & Settees,5685,25%,4263.75,"Avalon white | gunmetal finish base

A. 87.8"" | B. 38.58"" | C. 27.17"" | D. 27.56"" | E. 17.32""

Invite the glamour and luxury of boutique hotels into your home with the Aurelio Left Lounge Sofa. This stylish contemporary lounge sofa exudes timeless appeal. With its ultra-padded Avalon white upholstery and tapered black legs it adds sophistication to any interior space. It comes with two square back cushions for extra comfort.","A113357-1, A113357-2, A113357-3, A113357-4, A113357-5, A113357-6, A113357-7",87.8,38.58,27.17
A113354,Eichholtz Aurelio Bench,EICHHOLTZ,Seating > Benches & Ottomans,1905,25%,1428.75,"Avalon white | gunmetal finish base

48.82"" x 20.87"" x 17.32"" H

Invite the glamour and luxury of boutique hotels into your home with the Aurelio Bench. This stylish contemporary seat exudes timeless appeal. With its ultra-padded Avalon white upholstery and tapered black legs it adds sophistication to any interior space.","A113354-1, A113354-2, A113354-3, A113354-4, A113354-5, A113354-6, A113354-7",48.82,20.87,17.32
A113355,Eichholtz Aurelio Stool,EICHHOLTZ,Seating > Benches & Ottomans,1245,25%,933.75,"Avalon white | gunmetal finish base

25.59"" x 20.87"" x 17.32"" H

Invite the glamour and luxury of boutique hotels into your home with the Aurelio Stool. This stylish contemporary footstool exudes timeless appeal. With its ultra-padded Avalon white upholstery and tapered black legs it adds sophistication to any interior space.","A113355-1, A113355-2, A113355-3, A113355-4, A113355-5, A113355-6, A113355-7",25.59,20.87,17.32
A113389,Eichholtz Sienna Bench,EICHHOLTZ,Seating > Benches & Ottomans,1905,25%,1428.75,"Savona greige velvet | black finish legs

52.36"" x 23.23"" x 16.93"" H

The sumptuous Sienna Bench pairs comfort with high-style. This elegant modern long seat comes in a tufted upholstery in mellow Savona greige velvet. Black finished legs add extra glamour to its luxurious look.","A113389-1, A113389-2, A113389-3, A113389-4, A113389-5, A113389-6, A113389-7, A113389-8",52.36,23.23,16.93
A113200,Eichholtz Sienna Bench,EICHHOLTZ,Seating > Benches & Ottomans,1905,25%,1428.75,"Savona grey velvet | brushed brass finish legs

52.36"" x 23.23"" x 16.93"" H

The sumptuous Sienna Bench pairs comfort with high-style. This elegant modern long seat comes in a tufted upholstery in mellow Savona grey velvet. Gold finished legs add extra glamour to its luxurious look.","A113200-1, A113200-2, A113200-3, A113200-4, A113200-5, A113200-6, A113200-7, A113200-8",52.36,23.23,16.93
A113199,Eichholtz Sienna Stool,EICHHOLTZ,Seating > Benches & Ottomans,1260,25%,945,"Savona greige velvet | black finish legs

23.23"" x 23.23"" x 16.93"" H

The sumptuous Sienna Stool pairs comfort with high-style. This elegant modern ottoman comes in a tufted upholstery in mellow Savona greige velvet. Black finished legs add extra glamour to its luxurious look.","A113199-1, A113199-2, A113199-3, A113199-4, A113199-5, A113199-6",23.23,23.23,16.93
A113390,Eichholtz Sienna Stool,EICHHOLTZ,Seating > Benches & Ottomans,1260,25%,945,"Savona grey velvet | brushed brass finish legs

23.23"" x 23.23"" x 16.93"" H

The sumptuous Sienna Stool pairs comfort with high-style. This elegant modern ottoman comes in a tufted upholstery in mellow Savona grey velvet. Gold finished legs add extra glamour to its luxurious look.
","A113390-1, A113390-2, A113390-3, A113390-4, A113390-5, A113390-6, A113390-7",23.23,23.23,16.93
A113385,Eichholtz Sienna Chair,EICHHOLTZ,Seating > Occasional Chairs,2970,25%,2227.5,"Savona greige velvet | black finish legs

A. 40.94"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Chair pairs comfort with high-style. Featuring a t-shape, its backrest forms a whole with the armrests. This elegant modern armchair comes in a tufted upholstery in mellow Savona greige velvet, with two square throw cushions. Black finished legs add extra glamour to its luxurious look.","A113385-1, A113385-2, A113385-3, A113385-4, A113385-5, A113385-6, A113385-7, A113385-8",40.94,37.4,26.77
 A113196,Eichholtz Sienna Chair,EICHHOLTZ,Seating > Occasional Chairs,2970,25%,2227.5,"Savona grey velvet | brushed brass finish legs

A. 40.94"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Chair pairs comfort with high-style. Featuring a t-shape, its backrest forms a whole with the armrests. This elegant modern armchair comes in a tufted upholstery in mellow Savona grey velvet, with two square throw cushions. Gold finished legs add extra glamour to its luxurious look."," A113196-1,  A113196-2,  A113196-3,  A113196-4,  A113196-5,  A113196-6,  A113196-7",40.94,37.4,26.77
A113384,Eichholtz Sienna Sofa,EICHHOLTZ,Seating > Sofas,6615,25%,4961.25,"Savona greige velvet | black finish legs

A. 90.94"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Sofa pairs comfort with high-style. Featuring a t-shape, its backrest forms a whole with the armrests. This elegant modern armchair comes in a tufted upholstery in mellow Savona greige velvet, with four square throw cushions. Black finished legs add extra glamour to its luxurious look.","A113384-1, A113384-2, A113384-3, A113384-4, A113384-5, A113384-6, A113384-7, A113384-8",90.94,37.4,26.77
A113187,Eichholtz Sienna Sofa,EICHHOLTZ,Seating > Sofas,6615,25%,4961.25,"Savona grey velvet | brushed brass finish legs

A. 90.94"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Sofa pairs comfort with high-style. Featuring a t-shape, its backrest forms a whole with the armrests. This elegant modern armchair comes in a tufted upholstery in mellow Savona grey velvet, with four square throw cushions. Gold finished legs add extra glamour to its luxurious look.","A113187-1, A113187-2, A113187-3, A113187-4, A113187-5, A113187-6",90.94,37.4,26.77
A113198,Eichholtz Sienna Right Lounge Sofa,EICHHOLTZ,Seating > Chaises & Settees,5835,25%,4376.25,"Savona greige velvet | black finish legs

CMINCH
A. 87.8"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Left Lounge Sofa pairs comfort with high-style. This elegant modern lounge sofa comes in a tufted upholstery in mellow Savona greige velvet. Black finished legs add extra glamour to its luxurious look.","A113198-1, A113198-2, A113198-3, A113198-4, A113198-5, A113198-6, A113198-7, A113198-8",87.8,37.4,26.77
A113387,Eichholtz Sienna Right Lounge Sofa,EICHHOLTZ,Seating > Chaises & Settees,5835,25%,4376.25,"Savona grey velvet | brushed brass finish legs

CMINCH
A. 87.8"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Right Lounge Sofa pairs comfort with high-style. This elegant modern lounge sofa comes in a tufted upholstery in mellow Savona grey velvet. Gold finished legs add extra glamour to its luxurious look.","A113387-1, A113387-2, A113387-3, A113387-4, A113387-5, A113387-6, A113387-7, A113387-8",87.8,37.4,26.77
A113197,Eichholtz Sienna Left Lounge Sofa,EICHHOLTZ,Seating > Chaises & Settees,5835,25%,4376.25,"Savona greige velvet | black finish legs

CMINCH
A. 87.8"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Right Lounge Sofa pairs comfort with high-style. This elegant modern lounge sofa comes in a tufted upholstery in mellow Savona greige velvet. Black finished legs add extra glamour to its luxurious look.","A113197-1, A113197-2, A113197-3, A113197-4, A113197-5, A113197-6, A113197-7",87.8,37.4,26.77
A113386,Eichholtz Sienna Left Lounge Sofa,EICHHOLTZ,Seating > Chaises & Settees,5835,25%,4376.25,"Savona grey velvet | brushed brass finish legs

CMINCH
A. 87.8"" | B. 37.4"" | C. 26.77"" | D. 28.35"" | E. 16.93""

The sumptuous Sienna Left Lounge Sofa pairs comfort with high-style. This elegant modern lounge sofa comes in a tufted upholstery in mellow Savona grey velvet. Gold finished legs add extra glamour to its luxurious look.","A113386-1, A113386-2, A113386-3, A113386-4, A113386-5, A113386-6, A113386-7",87.8,37.4,26.77
116139,Eichholtz Coffee Table Artemisal,EICHHOLTZ,Tables > Cocktail Tables,4995,25%,3746.25,"With a Mid-Century Modern design and chic appeal, the large Coffee Table Artemisa makes a statement with an elegant metal frame in a brushed brass finish. The interior curves of the frame are accentuated by sleek bronze bars on the legs and a round tabletop of bevelled mirror glass, bringing focus to the spaciousness within the solid materials shaping this piece. Combine with the small Artemisa Coffee Table for a balanced look.
48.82"" dia x 13.58"" H","116139-1,
116139-2,
116139-3,
116139-4",,,
116138,Eichholtz Coffee Table Artemisa's,EICHHOLTZ,Tables > Cocktail Tables,4279.5,25%,3209.625,"With a Mid-Century Modern design and chic appeal, the small Coffee Table Artemisa makes a statement with an elegant metal frame in a brushed brass finish. The interior curves of the frame are accentuated by sleek bronze bars on the legs and a round tabletop of bevelled mirror glass, bringing focus to the spaciousness within the solid materials shaping this piece. Combine with the large Artemisa Coffee Table for a balanced look.

37.01"" dia x 13.58"" H","116138-1,
116138-2,
116138-3,
116138-4",,,
115618,Eichholtz Coffee Table Artemisa L,EICHHOLTZ,Tables > Cocktail Tables,4995,25%,3746.25,"Exuding a chic and understated style, the large Artemisa Coffee Table will elevate any living room or lobby. The frame is provided with a warm bronze finish. Vertical brushed brass accents embellish the tapered feet. A circular bevelled glass top ensures a high level of functionality.

48.82"" dia x 13.58"" H","115618-1,
115618-2,
115618-3,
115618-4",,,
116334,Eichholtz Coffee Table Sartoria,EICHHOLTZ,Tables > Cocktail Tables,3213,25%,2409.75,Travertine,"116334-1,
116334-2,
116334-3,
116334-4",,,
113801,Eichholtz Coffee Table Naples Set of 3,EICHHOLTZ,Tables > Cocktail Tables,5292,25%,3969,"As a 3-piece set, the Naples Coffee Table is ideal for your living room. Crafted from Italian carrara marble, these different-sized nested tables are a ready match for every interior design, whether modern or traditional. Arrange them any way you like!

32.68"" x 27.56"" x 15.94"" H | 13.78"" H | 11.81"" H","113801-1,
113801-2,
113801-3,
113801-4,
113801-5,
113801-6",,,
114331,Eichholtz Coffee Table Naples Set of 3 (Black),EICHHOLTZ,Tables > Cocktail Tables,5292,25%,3969,"As a 3-piece set, the Naples Coffee Table is ideal for your living room. Crafted from Italian black marble, these different-sized nested tables are a ready match for every interior design, whether modern or traditional. Arrange them any way you like!

32.68"" x 27.56"" x 15.94"" H | 13.78"" H | 11.81"" H","114331-1,
114331-2,
114331-3,
114331-4,
114331-5",,,
112012,Eichholtz Coffee Table Fredo Set of 2,EICHHOLTZ,Tables > Cocktail Tables,6534,25%,4900.5,"Add timeless style to your lounge or living room with this alluring set of 2 Fredo Coffee Tables: a great addition for both classic and contemporary interiors. They feature a nickel finished frame with four tapered legs and a white marble tabletop with black veins.

31.5"" dia x 17.72"" H | 25.59"" dia x 14.17"" H","112012-1,
112012-2,
112012-3",,,
115455,Eichholtz Coffee Table Pheonix,EICHHOLTZ,Tables > Cocktail Tables,2673,25%,2004.75,"Chic and sophisticated, the Phoenix Coffee Table exudes refined style. Use it as a singular centrepiece, or pair it with the Phoenix Side Table for added dimension. Showcasing outstanding craftsmanship, each piece skilfully crafted from wood and provided with a black finish that lets the knots and grains shine through. The legs are tapered and capped in antique brass sabots.

39.37"" dia x 15.16"" H","115455-1,
115455-2,
115455-3,
115455-4",,,
111989,Eichholtz Coffee Table Tomasso Round,EICHHOLTZ,Tables > Cocktail Tables,4630.5,25%,3472.875,"Conjure up a royal atmosphere in your home with the first-rate Tomasso Coffee Table. Featuring dark bronze finish legs in the shape of branches and a chic round tabletop of genuine Italian marble, this stunning furniture piece is a perfect fit for classic and eclectic interiors.

39.37"" dia x 15.35"" H","111989-1,
111989-2,
111989-3,
111989-4,
111989-5,
111989-6",,,
106342,Eichholtz Coffee Table Roman Figures,EICHHOLTZ,Tables > Cocktail Tables,3577.5,25%,2683.125,"Comprising a polished stainless steel frame with incorporated Roman numerals and a black marble tabletop, the Roman Figures Coffee Table will fit well in any interior whether traditional or modern.

39.37"" dia x 12.99"" H","106342-1,
106342-2,
106342-3",,,
113808,Eichholtz Coffee Table Tricolori,EICHHOLTZ,Tables > Cocktail Tables,4603.5,25%,3452.625,"The Tricolori Coffee Table is a perfect mix of distinctive design and superb style. A daring combination of materials and forms. The remarkable base comprises a cube, cone and ball in a brushed copper finish. It is completed by a beautiful round faux marble top in three different colours.

47.24"" dia x 16.73"" H","113808-1,
113808-2,
113808-3,
113808-4,
113808-5",,,
114481,Eichholtz Coffee Table Tardieu,EICHHOLTZ,Tables > Cocktail Tables,6898.5,25%,5173.875,"Coffee Table Tardieu celebrates modern retro design. Featuring clean lines, this handsome contemporary piece has a sturdy antique brass finish frame with an inlaid top of Italian bianco lilac marble.

46.85"" x 46.85"" x 11.42"" H","114481-1,
114481-2,
114481-3,
114481-4",,,
113283,Eichholtz Coffee Table San Ramon,EICHHOLTZ,Tables > Cocktail Tables,6412.5,25%,4809.375,"Bring Bauhaus style into your interior with the San Remo Coffee Table. Featuring a geometric design with refined lines and a smooth surface, this square coffee table will add a minimalistic yet chic character to your living room. The table comprises a metal frame with a high gloss black finish and a tabletop with an inlay of 4 bianco lilac marble tiles.

39.37"" x 39.37"" x 13.78"" H","113283-1,
113283-2,
113283-3,
113283-4",,,
113935,Eichholtz Coffee Table Miguel,EICHHOLTZ,Tables > Cocktail Tables,6628.5,25%,4971.375,"With its tabletop of Italian bianco lilac marble and niches in charcoal grey oak veneer, the quartered Miguel Coffee Table exudes luxury and modernity. The high class top of this charming piece of furniture will naturally attract vases and stylish accessories, while the niches offer storage space for books, magazines, remotes and the like.

47.24"" x 47.24"" x 13.78"" H","113935-1,
113935-2,
113935-3",,,
113380,Eichholtz Coffee Table Hermoza,EICHHOLTZ,Tables > Cocktail Tables,4333.5,25%,3250.125,"The chic Hermoza Coffee Table successfully couples the richness of Italian bianco lilac marble and the retro look and feel of mocha oak veneer. This stunning coffee table has a sleek metal frame with pewter finish and is equally at home in Mid-Century Modern interiors as in traditional décors.

43.31"" x 43.31"" x 13.78"" H","113380-1,
113380-2,
113380-3",,,
113182,Eichholtz Coffee Table Calabasas High,EICHHOLTZ,Tables > Cocktail Tables,3888,25%,2916,"Featuring a truly unique design, the Calabasas Coffee Table instantly adds a touch of contemporary style to your living room. The peculiar shape of this modern coffee table with brushed brass finish reminds one of stacked stones. Its solid construction adds to its sturdy appearance and makes this table very durable. Pair together with a lower Calabasas Coffee Table for extra tabletop space and a bold look.

28.35"" x 19.69"" x 23.62"" H","113182-1,
113182-2,
113182-3,
113182-4",,,
113209,Eichholtz Coffee Table Calabasas Low,EICHHOLTZ,Tables > Cocktail Tables,3888,25%,2916,"Featuring a truly unique design, the Calabasas Coffee Table instantly adds a touch of contemporary style to your living room. The peculiar shape of this modern coffee table with brushed brass finish reminds one of stacked stones. Its solid construction adds to its sturdy appearance and makes this table very durable. Pair together with a higher Calabasas Coffee Table for extra tabletop space and a bold look.

32.28"" x 20.47"" x 17.72"" H","113209-1,
113209-2,
113209-3,
113209-4",,,
114759,Eichholtz Coffee Table Sinclair,EICHHOLTZ,Tables > Cocktail Tables,3334.5,25%,2500.875,"Coffee Table Sinclair stands out for its telescopic design. It looks like the tubular parts are designed to slide into each other. Provided with a brushed brass finish, this remarkable coffee table is topped with a round plate of bevelled black glass.

39.37"" dia x 14.17"" H","114759-1,
114759-2,
114759-3",,,
114358,Eichholtz Coffee Table Astra Set of 2,EICHHOLTZ,Tables > Cocktail Tables,4846.5,25%,3634.875,"This stunning set of 2 semi-circular Astra Coffee Tables will give you a lot of layout options. Each table has a base of polished stainless steel and a half round table top of bevelled black glass. Personalise to your liking: use each table as a single piece, near the armrest of your sofa, transform it into a night stand, place it against a wall as a low console, or pair together as an island in the middle of your seating ensemble.

47.24"" x 24.02"" x 11.22"" H","114358-1,
114358-2,
114358-3,
114358-4",,,
113932,Eichholtz Coffee Table Copper Astra Set of 2,EICHHOLTZ,Tables > Cocktail Tables,4846.5,25%,3634.875,"This stunning set of 2 semi-circular Astra Coffee Tables will give you a lot of layout options. Each table has a brushed copper base and a half round table top of bevelled black glass. Personalise to your liking: use each table as a single piece, near the armrest of your sofa, transform it into a night stand, place it against a wall as a low console, or pair together as an island in the middle of your seating ensemble.

47.24"" x 23.82"" x 11.42"" H","113932-1,
113932-2,
113932-3,
113932-4",,,
115121,Eichholtz Coffee Table Clooney,EICHHOLTZ,Tables > Cocktail Tables,2673,25%,2004.75,"Coffee Table Clooney works great in both residential and hospitality settings. The low sheen brushed copper finish makes it durable for a sitting area, a boutique waiting room, or executive lounge. A top of black glass gives this coffee table a chic look and rings on either side add a playful touch.

35.43"" dia x 15.16"" H","115121-1,
115121-2,
115121-3,
115121-4",,,
113299,Eichholtz Coffee Table Piemonte Set of 2,EICHHOLTZ,Tables > Cocktail Tables,4117.5,25%,3088.125,"Enhance your relaxation area with the set of 2 Piemonte Coffee Tables. The retro look and elegant curves of these two nesting tables are perfectly complementary. With a mirrored tabletop of bevelled black glass and a metal base in a brushed copper finish, they will make a chic addition to your living room décor.

35.43"" dia x 14.96"" H | 23.62"" dia x 18.31"" H","113299-1,
113299-2,
113299-3,
113299-4,
113299-5",,,
113628,Eichholtz Coffee Table Piemonte Set of 2 Silver,EICHHOLTZ,Tables > Cocktail Tables,4117.5,25%,3088.125,"Enhance your relaxation area with the set of 2 Piemonte Coffee Tables. The retro look and elegant curves of these two nesting tables are perfectly complementary. With a mirrored tabletop of bevelled black glass and a base of polished stainless steel, they will make a chic addition to your living room décor.

35.43"" dia x 14.96"" H | 23.62"" dia x 18.31"" H","113628-1,
113628-2,
113628-3,
113628-4",,,
115222,Eichholtz Coffee Table Rocco,EICHHOLTZ,Tables > Cocktail Tables,2322,25%,1741.5,"Instantly refresh your living room décor with the Rocco Coffee Table. Triangular-shaped open work legs with a brushed brass finish make this table stand out, whilst its round top of bevelled black glass and contemporary style will add a chic touch to your ensemble. Anti-scratch protective pads on the legs help to prevent scratches on floors.

35.43"" dia x 12.99"" H","115222-1,
115222-2,
115222-3,
115222-4",,,
113333,Eichholtz Coffee Table Courrier,EICHHOLTZ,Tables > Cocktail Tables,4806,25%,3604.5,"Give in to vintage style by opting for the Courrier Coffee Table. With its brushed brass finish frame and black glass tabletop, this chic coffee table boasts a refined seventies silhouette. Despite its retro design, it fits seamlessly into many interior schemes.

39.37"" x 39.37"" x 18.11"" H","113333-1,
113333-2,
113333-3,
113333-4,
113333-5,
113333-6",,,
114361,Eichholtz Coffee Table Nio Set of 4,EICHHOLTZ,Tables > Cocktail Tables,6183,25%,4637.25,"The 4-piece Nio Coffee Table set has a balanced look for your living room. It consists of 2 L-shaped coffee tables and 2 square trays. Sitting on a black base and adorned with rims of polished stainless steel, each piece has a surface of black glass. You can put the trays anywhere you want on the tabletop, as a place to set beverages and decorative items such as books, bowls and candle holders.

15.75""/31.5"" x 31.5 "" x 9.06"" H | tray 15.75"" x 15.75"" x 3.94"" H","114361-1,
114361-2,
114361-3,
114361-4",,,
114991,Eichholtz Coffee Tabl Ryan,EICHHOLTZ,Tables > Cocktail Tables,4455,25%,3341.25,"Brushed brass finish metal twinned with clear bevelled glass give Coffee Table Ryan its timeless appeal, adding a touch of classic style to your home. The integrated shelf of mirror glass is ideal for displaying magazines, succulents and more, and accessible via a glass door on one of the sides.

39.37"" x 39.37"" x 11.81"" H","114991-1,
114991-2,
114991-3,
114991-4,
114991-5",,,
109550,Eichholtz Coffee Table Sceptre,EICHHOLTZ,Tables > Cocktail Tables,5697,25%,4272.75,"Characterised by its playful inkblot shape, the polished stainless steel Sceptre Coffee Table will blend beautifully with an eclectic or modern décor.

45.67"" x 29.92"" x 14.96"" H","109550-1,
109550-2,
109550-3,
109550-4",,,
110610,Eichholtz Coffee Table VILLIÈRS,EICHHOLTZ,Tables > Cocktail Tables,7033.5,25%,5275.125,"Invite the organic chic of the Villièrs Coffee Table into your home. The wonderful contrast of materials turns this discerning coffee table with petrified wood into an instant focal point.

39.37"" x 39.37"" x 14.96"" H","110610-1,
110610-2,
110610-3,
110610-4",,,
112545,Eichholtz Coffee Table Tatler,EICHHOLTZ,Tables > Cocktail Tables,5791.5,25%,4343.625,"Invite the natural chic of the Tatler Coffee Table into your home. Resting on a sturdy round base in a brushed brass finish, the square high gloss black tabletop nestles beautiful faux-marble inserts inside. This tasteful combination of materials turns it into a real eye-catcher.

39.37"" x 39.37"" x 14.96"" H","112545-1,
112545-2,
112545-3",,,
113411,Eichholtz Coffee Table Concord,EICHHOLTZ,Tables > Cocktail Tables,6237,25%,4677.75,"Invite the organic chic of the Concord Coffee Table into your home. This extraordinary coffee table flaunts a tabletop with a slice of tree trunk and a pedestal base with brushed brass finish. The wonderful contrast of materials turns it into an instant focal point.

47.24"" dia x 13.39"" H","113411-1,
113411-2,
113411-3,
113411-4",,,
114419,Eichholtz Coffee Table Griffith,EICHHOLTZ,Tables > Cocktail Tables,5440.5,25%,4080.375,"Create an extravagant new look in your living room with Coffee Table Griffith. This quirky design features two overlapping discs with a brushed brass rim. The lower disc has a top of charcoal grey oak veneer, the upper one has a top of black glass.

55.12"" x 47.24"" x 11.22"" H","114419-1,
114419-2,
114419-3,
114419-4,
114419-5",,,
114433,Eichholtz Coffee Table Shelton,EICHHOLTZ,Tables > Cocktail Tables,5845.5,25%,4384.125,"Create an extravagant new look in your living room with Coffee Table Shelton. This quirky design features two overlapping squares with a brushed brass rim. The lower square has a top of charcoal grey oak veneer, the upper one has a top of black glass.

48.82"" x 53.15"" x 12.6"" H","114433-1,
114433-2,
114433-3,
114433-4,
114433-5,
114433-6,
114433-7",,,
113934,Eichholtz Coffee Table Concorde,EICHHOLTZ,Tables > Cocktail Tables,6237,25%,4677.75,"To make its unique presence felt, the Concorde Coffee Table features striking contrasts between square and round, and between matte and shiny. The charcoal grey oak veneer table top is framed in brushed brass and ecompasses a recessed surface of mirror glass in the middle. It rests on a round base with a brushed brass finish.

47.24"" x 47.24"" x 11.61"" H","113934-1,
113934-2,
113934-3,
113934-4",,,
