sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
753040-4,CRYSTAL LAUREL 32? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,4890,"
Chandelier in a silver leaf finish with warm gray candlesticks featuring stylized faceted crystal leaves.

MODEL NUMBER
753040-4
DIMENSIONS
28” H x 32” W ( 71 cm x 81 cm )
NET WEIGHT
14 lbs., 6.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","753040-4-1, 753040-4-2, 753040-4-3, 753040-4-4",,,
759440-3,CRYSTAL LAUREL 45? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,15170,"
Chandelier in a gold leaf finish with antiqued candlesticks featuring stylized faceted crystal leaves.

MODEL NUMBER
759440-3
DIMENSIONS
54” H x 45” W ( 137 cm x 114 cm )
NET WEIGHT
58 lbs., 26.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","759440-3-1, 759440-3-2, 759440-3-3, 759440-3-4, 759440-3-5",,,
759440-4,CRYSTAL LAUREL 45? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,15170,"Chandelier in a silver leaf finish with warm gray candlesticks featuring stylized faceted crystal leaves.

MODEL NUMBER
759440-4
DIMENSIONS
54” H x 45” W ( 137 cm x 114 cm )
NET WEIGHT
58 lbs., 26.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","759440-4-1, 759440-4-2, 759440-4-3, 759440-4-4, 759440-4-5",,,
771140-3,CRYSTAL LAUREL 57? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,21020,"Chandelier in a gold leaf finish with antiqued candlesticks featuring stylized faceted crystal leaves.

MODEL NUMBER
771140-3
DIMENSIONS
63” H x 57” W ( 160 cm x 145 cm )
NET WEIGHT
88 lbs., 40.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","771140-3-1, 771140-3-2, 771140-3-3, 771140-3-4, 771140-3-5",,,
771140-4,CRYSTAL LAUREL 57? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,21020,"
Chandelier in a silver leaf finish with warm gray candlesticks featuring stylized faceted crystal leaves.

MODEL NUMBER
771140-4
DIMENSIONS
63” H x 57” W ( 160 cm x 145 cm )
NET WEIGHT
88 lbs., 40.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","771140-4-1, 771140-4-2, 771140-4-3, 771140-4-4",,,
719540-1,ENCASED GEMS 27? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,6700,"Chandelier in variegated gold leaf finish with multi-colored crystal gems of citrine, carnelian, smoky quartz, brown and amber colors. 2? decorative chain included.

MODEL NUMBER
719540-1
DIMENSIONS
32” H x 27” W ( 81.28 cm x 68.58 cm )
NET WEIGHT
35 lbs., 15.91 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","719540-1-1, 719540-1-2, 719540-1-3",,,
725440-1,ENCASED GEMS 31? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,10450,"
Chandelier in vintage silver leaf finish with multi-colored crystal gems of amethyst, tourmaline, and aquamarine colors. 2? decorative chain included.

MODEL NUMBER
725440-1
DIMENSIONS
47” H x 31” W ( 119.38 cm x 78.74 cm )
NET WEIGHT
48 lbs., 21.82 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","725440-1-1, 725440-1-2, 725440-1-3",,,
726040-1,ENCASED GEMS 50? OVAL CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,10250,"Oblong chandelier in variegated gold leaf finish with multi-colored crystal gems of citrine, carnelian, smoky quartz, brown and amber colors. Includes 2 feet of decorative chain included.

MODEL NUMBER
726040-1
DIMENSIONS
49” H x 50” W x 20” D ( 124.46 cm x 127 cm x 50.8 cm )
NET WEIGHT
42 lbs., 19.09 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Not Included
INTL Bulb: B35 E14, 60W, Candelabra, Not Included",726040-1-1,,,
881240-1,LILY BUDS 41? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,6640,"
Chandelier in gold leaf finish with graceful bouquets of faceted crystal lily buds that create a naturally elegant lighting effect.

MODEL NUMBER
881240-1
DIMENSIONS
40.5” H x 41” W ( 102.87 cm x 104.14 cm )
NET WEIGHT
50 lbs., 22.73 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Included
INTL Bulb: B35 E14, 60W, Candelabra, Included","881240-1-1, 881240-1-2, 881240-1-3",,,
883240-1,LILY BUDS 48? OBLONG CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7740,"
Chandelier in gold leaf finish with graceful bouquets of faceted crystal lily buds that create a naturally elegant lighting effect.

MODEL NUMBER
883240-1
DIMENSIONS
35” H x 48” W x 25” D ( 88.9 cm x 121.92 cm x 63.5 cm )
NET WEIGHT
55 lbs., 25.0 kgs
ELECTRICAL
US Bulb: B 10, 60W, Candelabra, Included
INTL Bulb: B35 E14, 60W, Candelabra, Included","883240-1-1, 883240-1-2, 883240-1-3",,,
843540-22,MARQUISE 29.25? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,4740,"Elegant and graceful chandelier in Florentine brushed gold leaf finish with antiqued candlesticks and hand cut faceted crystals. 

MODEL NUMBER 
843540-22 
DIMENSIONS 
25” H x 29.25” W ( 63.5 cm x 74.295 cm ) 
NET WEIGHT 
22 lbs., 10.0 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","843540-22-1, 843540-22-2, 843540-22-3",,,
843540-12,MARQUISE 29.25? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,4740,"Elegant and graceful chandelier in platinized silver leaf finish with warm gray candlesticks and hand cut faceted crystals. 

MODEL NUMBER 
843540-12 
DIMENSIONS 
25” H x 29.25” W ( 63.5 cm x 74.295 cm ) 
NET WEIGHT 
22 lbs., 10.0 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","843540-12-1, 843540-12-2, 843540-12-3",,,
428040-2,PASTICHE 48? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,12590,"Chandelier in an antique gold finish features delicate fretwork accented by crystal pendants. Hand-tailored shades of spun gold silk feature decorative pleated galleries and decorative finial. 

MODEL NUMBER 
428040-2 
DIMENSIONS 
57” H x 48” W ( 144.78 cm x 121.92 cm ) 
NET WEIGHT 
70 lbs., 31.82 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","428040-2-1, 428040-2-2, 428040-2-3",,,
733840-2,PERSPECTIVES 42? SQUARE CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,6990,"Chandelier in a warm muted silver leaf finish and hand tailored laminated shades of multi-tonal white crepe and coordinating trim. Includes a 6? adjustable rod. Also available in patinated golden bronze finish: 733840. Canopy adapts to vaulted ceiling. 

MODEL NUMBER 
733840-2 
DIMENSIONS 
37” H x 42” W ( 93.98 cm x 106.68 cm ) 
NET WEIGHT 
30 lbs., 13.64 kgs 
ELECTRICAL 
US Bulb: CFL or LED, 7W, Candelabra, Not Included 
INTL Bulb: CFL E14, 7W, Candelabra, Not Included","733840-2-1, 733840-2-2, 733840-2-3",,,
734040-2,PERSPECTIVES 46? OBLONG CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,5460,"Oblong chandelier in a warm muted silver leaf finish and hand tailored laminated shades of multi-tonal white crepe and coordinating trim. Includes a 6? adjustable rod. Also available in patinated golden bronze finish: 734040. Canopy adapts to vaulted ceiling. 

MODEL NUMBER 
734040-2 
DIMENSIONS 
25” H x 42” W x 13” D ( 63.5 cm x 106.68 cm x 33.02 cm ) 
NET WEIGHT 
28 lbs., 12.73 kgs 
ELECTRICAL 
US Bulb: CFL or LED, 7W, Candelabra, Not Included 
INTL Bulb: CFL E14, 7W, Candelabra, Not Included","734040-2-1, 734040-2-2, 734040-2-3, 734040-2-4",,,
893640-21,PLUME 45? CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7990,"Interweaving signature Fine Art studio glass with the noble element of our handmade metal fabrication, this soft gold leaf chandelier combines classical lines with a contemporary glass design. Each plume is handblown and sculpted with a translucent mixture of clear crystal and white glass. 

MODEL NUMBER 
893640-21 
DIMENSIONS 
29” H x 45” W ( 74 cm x 114 cm ) 
NET WEIGHT 
40 lbs., 18.0 kgs 
ELECTRICAL 
US Bulb: B-10, 60W, Candelabra, Not Included 
INTL Bulb: B35-E14, 60W, CandelabraIncluded","893640-21-1, 893640-21-2",,,
