sku,Name,Brand,Categories,MSRP,Sale Price,Description,Images,Length,Width,Height
M100-419-RL1-A,"Caracole Edge RAF Loveseat
",Caracole,Furniture > Living > Sofas,3715,2451.9,"PORTFOLIO:
CARACOLE MODERN

MATERIAL:
Birch, Stainless Steel

DIMENSIONS (IN):
75.75W x 40D x 27.5H in

DIMENSIONS (CM):
192.41W x 101.6D x 69.85H cm

SEAT WIDTH:
64

SEAT DEPTH:
21

SEAT HEIGHT:
19

ARM HEIGHT:
28

CARTON DIMENSIONS:
79.500W x 42.100D x 29.900H in

WEIGHT:
193.6 pounds

PRODUCT OVERVIEW:
The beautifully designed RAF loveseat lets you create the arrangement that best fits your space. Designer details include exquisite channel quilting that flows over each arm and back to create a visual ledge around the entire back side and finishes in Satin Ebony and Whisper of Gold. You're sure to be a fan of its complex neutral color palette of grays, slate, and taupe that intermingle to create an effect that's neither too warm nor too cold, too formal nor too casual. In fact, with its tailored beauty and limitless configurations, everything about the Edge sectional is just right. Embrace the art of fine living with this versatile modular sectional and enjoy its distinctive combination of style and sumptuous comfort.
FEATURES:
Loose seat cushion. Tight back. Angular track arm. Slim wood base. Metal clad block legs.
CONSTRUCTION:
Blendown cushion. No sag seat. Feather down pillows.","M100-419-RL1-A-1, M100-419-RL1-A-2, M100-419-RL1-A-3, M100-419-RL1-A-4, M100-419-RL1-A-5",75.75,40,27.5
UPH-020-012-A,"Caracole Outline Sofa
",Caracole,Furniture > Living > Sofas,5195,3428.7,"MATERIAL:
Birch

DIMENSIONS (IN):
90.5W x 40.5D x 30.25H

DIMENSIONS (CM):
229.87W x 102.87D x 76.84H

SEAT WIDTH:
82.500

SEAT DEPTH:
27.000

SEAT HEIGHT:
18.000

ARM HEIGHT:
25.750

CONFIGURE TYPE:
N

PRODUCT OVERVIEW:
Statement-making from every angle, this modern chair features a striking silhouette, distinctly defined by continuous clean lines and a slim wood frame.
Tailored to perfection in a woven linen fabric, its smooth upholstered back and welted seat cushion offer soft contrast to its Black Saddle finish. Draws attention on its own; even more dramatic in pairs. Matching Outline sofa also available
FEATURES:
Slim wood frame.
Loose seat cushions.
Tight back.
CONSTRUCTION:
8-way hand tied seat.
Springdown cushion.
Feather down pillows.","UPH-020-012-A-1, UPH-020-012-A-2, UPH-020-012-A-3, UPH-020-012-A-4, UPH-020-012-A-5, UPH-020-012-A-6",90.5,40.5,30.25
UPH-020-032-A,Caracole Outline Chair,Caracole,Furniture > Living > Occasional Chairs,2610,1722.6,"MATERIAL:
Birch

DIMENSIONS (IN):
28.5W x 35.5D x 29.5H

DIMENSIONS (CM):
72.39W x 90.17D x 74.93H

SEAT WIDTH:
20.500

SEAT DEPTH:
21.750

SEAT HEIGHT:
18.000

ARM HEIGHT:
25.500

CONFIGURE TYPE:
N

PRODUCT OVERVIEW:
Statement-making from every angle, this modern sofa features a striking silhouette, distinctly defined by continuous clean lines and a slim wood frame. Tailored to perfection in a woven linen fabric, its smooth upholstered back and welted seat cushions offer soft contrast to its Black Saddle finish. Poised on French cabriole-inspired legs, it offers sophistication, with cloud-like comfort. Accent pillows add depth and warm texture in a multicolor velvet. Style with a pair of matching Outline chairs.
FEATURES:
Slim wood frame.
Loose seat cushion.
Tight back.","UPH-020-032-A-1, UPH-020-032-A-2, UPH-020-032-A-3, UPH-020-032-A-4, UPH-020-032-A-5, UPH-020-032-A-6",28.5,35.5,29.5
M090-018-033-A,Caracole The Crane,Caracole,Furniture > Living > Occasional Chairs,2360,1557.6,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch

DIMENSIONS (IN):
34.25W x 35.75D x 28.5H in

DIMENSIONS (CM):
87W x 90.81D x 72.39H cm

SEAT WIDTH:
24

SEAT DEPTH:
24

SEAT HEIGHT:
18.5

ARM HEIGHT:
21.5

CARTON DIMENSIONS:
38.250W x 39.750D x 32.500H in

WEIGHT:
62 pounds

PRODUCT OVERVIEW:
Inspired by the crisp folds and simple beauty of origami, this one-of-a-kind chair creates an instant focal point. Timeless yet modern, it captures the imaginative appeal of an origami crane, right down to the crisp folds reflected in its refined linear silhouette. A plush velvet cover-in a shade of midnight blue like a deep pool of water-brings this design to life. Its distinctive shape is outlined in wood and highlighted with a rich Stout finish to a masterful effect.
FEATURES:
Loose seat cushion. Tight back. Angular wood frame.
CONSTRUCTION:
Blendown cushion. No sag seat.","M090-018-033-A-1, M090-018-033-A-2, M090-018-033-A-3, M090-018-033-A-4, M090-018-033-A-5, M090-018-033-A-6",34.25,35.75,28.5
SGU-017-232-A,Caracole The Svelte Chair,Caracole,Furniture > Living > Occasional Chairs,6855,4524.3,"PORTFOLIO:
Caracole Signature

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
31W x 35.75D x 30.75H in

DIMENSIONS (CM):
78.74W x 90.81D x 78.11H cm

SEAT WIDTH:
22

SEAT DEPTH:
24.5

SEAT HEIGHT:
20

ARM HEIGHT:
24.5

CARTON DIMENSIONS:
34.600W x 39.200D x 33.500H in

WEIGHT:
108 pounds

PRODUCT OVERVIEW:
Our elegant Svelte Chair is graceful in every respect and from every angle. Inspired by Italian design in the mid-century, this chair's extraordinary silhouette is simply breathtaking. This barrel chair is the epitome of refined beauty. Its top rail gently slopes forward while its base gracefully sweeps downward from its sculptural Majestic Gold front legs to balance on the floor in the back of the chair. The chair's interior and loose seat cushion feature a shimmering basketweave fabric in a lovely Moonstone hue while the chair's exterior is meticulously upholstered around its barrel back in a tone-on-tone novelty eyelash embroidery. The exposed gold frame wraps the chair in just the right touch of brilliance. Try grouping four or more chairs around a circular cocktail table in a small den, or library for the perfect conversation area.
FEATURES:
Stainless steel frame plated in Majestic Gold features a barrel-shaped silhouette. Tight back with loose seat cushion.
CONSTRUCTION:
Stainless steel frame. Blendown supreme cushion with memory foam topper. 8-way hand tied seat.","SGU-017-232-A-1, SGU-017-232-A-2, SGU-017-232-A-3, SGU-017-232-A-4, SGU-017-232-A-5",31,35.75,30.75
SGU-017-233-A,Caracole The Svelte Chair,Caracole,Furniture > Living > Occasional Chairs,8990,5933.4,"PORTFOLIO:
Caracole Signature

MATERIAL:
Birch Solids, Stainless Steel, Striped Ebony Veneer

DIMENSIONS (IN):
31W x 35.75D x 30.75H in

DIMENSIONS (CM):
78.74W x 90.81D x 78.11H cm

SEAT WIDTH:
22

SEAT DEPTH:
24.5

SEAT HEIGHT:
20

ARM HEIGHT:
24.5

CARTON DIMENSIONS:
34.600W x 39.200D x 33.500H in

WEIGHT:
115 pounds

PRODUCT OVERVIEW:
The dramatic Svelte Chair is graceful in every respect and from every angle. Inspired by Italian design in the mid century, this chair's extraordinary silhouette is simply breathtaking. Ebony and ivory perfectly harmonize in this intriguing barrel chair. Dark Striped Ebony wraps the back of the piece. The chair's interior and loose cushion are tightly upholstered in a lustrous basketweave fabric in a shimmering Moonstone hue. The chair's beauty comes to life as the top rail gently slopes forward while its base gracefully sweeps downward from its sculptural Majestic Gold front legs to balance on the floor in the back of the chair. Try grouping four or more chairs around a circular cocktail table in a small den or library for the perfect conversation area.
FEATURES:
Stainless steel frame plated in Majestic Gold features a barrel-shaped silhouette. Tight back with loose seat cushion. Striped Ebony outside back.
CONSTRUCTION:
Stainless steel frame. Blendown supreme cushion with memory foam topper. 8-way hand tied seat.","SGU-017-233-A-1, SGU-017-233-A-2, SGU-017-233-A-3, SGU-017-233-A-4, SGU-017-233-A-5, SGU-017-233-A-6, SGU-017-233-A-7",31,35.75,30.75
UPH-016-136-A,Caracole Chair-ish,Caracole,Furniture > Living > Occasional Chairs,3550,2343,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch, Metal

DIMENSIONS (IN):
31W x 35D x 31H in

DIMENSIONS (CM):
78.74W x 88.9D x 78.74H cm

SEAT WIDTH:
21

SEAT DEPTH:
22

SEAT HEIGHT:
20

ARM HEIGHT:
25

CARTON DIMENSIONS:
35.236W x 38.583D x 34.646H in

WEIGHT:
95.7 pounds

PRODUCT OVERVIEW:
*AVAILABLE IN CARACOLE COUTURE CUSTOM UPHOLSTERY PROGRAM* Chair-ish builds on the company's tradition of hand-carved lattice barrel frames with gracefully tapered legs. A retro-modern geometric honeycomb pattern has been rendered in a shimmering Taupe Paint and paired with linen, lightly tufted upholstery in a demure fog color on the front and dark taupe sateen fabric on the back.
FEATURES:
Tapered leg with metal ferrule. Carved lattice design around outside. Slim wood frame. Loose seat cushion. Tight back with biscuit tufting.
CONSTRUCTION:
Spring down cushion. 8-way hand tied seat.","UPH-016-136-A-1, UPH-016-136-A-2, UPH-016-136-A-3, UPH-016-136-A-4, UPH-016-136-A-5, UPH-016-136-A-6, UPH-016-136-A-7",31,35,31
UPH-018-031-A,Caracole Diamond Dash Chair,Caracole,Furniture > Living > Occasional Chairs,3760,2481.6,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
44W x 37.5D x 29H in

DIMENSIONS (CM):
111.76W x 95.25D x 73.66H cm

SEAT WIDTH:
24.5

SEAT DEPTH:
24.75

SEAT HEIGHT:
18.25

ARM HEIGHT:
24.75

CARTON DIMENSIONS:
47.000W x 40.500D x 32.000H in

WEIGHT:
121 pounds

PRODUCT OVERVIEW:
Inspired by Art Deco design, this fashionable chair lends chic sophistication to a space. Its silhouette reflects Mid-century Modern influences and boasts generously scaled arms, streamlined bench seating, and a richly textured fabric with a stylish mix of sapphire blue contrasted by bittersweet chocolate. An eye-stopping diamond quilt pattern adds to its visual appeal, with each tuft embellished with a metal cufflink-inspired bar tack. Shapely metal legs peek out from underneath and feature an open wishbone shape accented in Champagne Gold. A coordinating accent pillow featuring an embroidered geometric pattern in shades of soft peacock blue and chocolate brown adds to its charm.
FEATURES:
Metal legs and metal buttons finished in Champagne Gold. Loose seat cushion. Tight button tufted back and frame.
CONSTRUCTION:
Springdown cushion. 8-Way hand tied seat. Feather down pillow.","UPH-018-031-A-1, UPH-018-031-A-2, UPH-018-031-A-3, UPH-018-031-A-4, UPH-018-031-A-5, UPH-018-031-A-6, UPH-018-031-A-7, UPH-018-031-A-8",44,37.5,29
UPH-018-012-A,Caracole Diamond Dash Sofa,Caracole,Furniture > Living > Sofas,6455,4260.3,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
94.5W x 37.25D x 29H in

DIMENSIONS (CM):
240.03W x 94.62D x 73.66H cm

SEAT WIDTH:
74.75

SEAT DEPTH:
24.75

SEAT HEIGHT:
18.25

ARM HEIGHT:
24.75

CARTON DIMENSIONS:
97.500W x 40.500D x 32.000H in

WEIGHT:
196 pounds

PRODUCT OVERVIEW:
A one-of-a-kind beauty, this distinctive sofa captures the essence of Art Deco brought to life with Mid-century Modern design. Inspired by nature's influences, it features generously scaled arms and the clean lines of bench seating upholstered in a richly textured fabric with a stylish mix of sapphire blue contrasted by bittersweet chocolate. An eye-stopping diamond quilt pattern adds visual dimension, with each tuft punctuated by a metal cufflink-inspired bar tack. Stylish metal legs peek out from underneath and feature an open wishbone shape highlighted in Champagne Gold. Fashionable accent pillows with an embroidered geometric pattern in shades of soft peacock blue and chocolate brown make a coordinated fashion statement, and a fun, faux mink fur kidney pillow completes the sofa's stylish appeal.
FEATURES:
Metal legs and metal buttons finished in Champagne Gold. Loose bench seat cushion. Tight back.
CONSTRUCTION:
Springdown cushion. 8-Way had tied seat. Feather down pillows.","UPH-018-012-A-1, UPH-018-012-A-2, UPH-018-012-A-3, UPH-018-012-A-4, UPH-018-012-A-5, UPH-018-012-A-6, UPH-018-012-A-7",94.5,37.25,29
UPH-017-0311-A,Caracole Twirl Around!,Caracole,Furniture > Living > Occasional Chairs,2860,1887.6,"PORTFOLIO:
CARACOLE

MATERIAL:
Plated Stainless Steel

DIMENSIONS (IN):
34W x 31D x 31.5H in

DIMENSIONS (CM):
86.36W x 78.74D x 80.01H cm

SEAT WIDTH:
21.5

SEAT DEPTH:
20.25

SEAT HEIGHT:
21.25

ARM HEIGHT:
29

CARTON DIMENSIONS:
36.400W x 33.500D x 34.400H in

WEIGHT:
90 pounds

PRODUCT OVERVIEW:
Truly unforgettable, this cool chair is simply fabulous. Distinctive in every way, it turns and twirls 360° so you never miss a thing, no matter what direction you're facing. It wears a distinctive velvet cover in a fresh shade of turquoise while its metal base shows off a Whisper of Gold finish. Overflowing with character, Twirl Around! works anywhere, even as a desk chair.
FEATURES:
Swivel metal base. Loose seat cushion. Tight back.
CONSTRUCTION:
Spring down cushion. Webbed seat.","UPH-017-0311-A-1, UPH-017-0311-A-2, UPH-017-0311-A-3, UPH-017-0311-A-4, UPH-017-0311-A-5",34,31,31.5
UPH-418-033-A,"Caracole Pop Your Collar
",Caracole,Furniture > Living > Occasional Chairs,2840,1874.4,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch

DIMENSIONS (IN):
34W x 32.75D x 48.25H in

DIMENSIONS (CM):
86.36W x 83.19D x 122.56H cm

SEAT WIDTH:
24

SEAT DEPTH:
20.25

SEAT HEIGHT:
19.5

CARTON DIMENSIONS:
37.990W x 36.810D x 51.970H in

WEIGHT:
60 pounds

PRODUCT OVERVIEW:
Attention-getting by nature, this exceptional chair has considerable presence. Its tall winged back design is expertly upholstered in a luxurious chocolate plum satin and trimmed in a silhouetted wood frame wearing a Golden Shimmer finish. Of particular note is the extraordinary tailored finger-pleat detail along its inside lumbar. Expertly trimmed with a metal bar finished in Champagne Gold, this elegant detail matches the metal ferrules on its front feet. Inspired by the glamour of the Hollywood Regency era, this signature chair is simply magical, masterfully fresh, and all Caracole refined.
FEATURES:
Decorative curved metal rod finished in Champagne Gold on center inback. Metal ferrules finished in Champagne Gold on front feet. Tight back.
CONSTRUCTION:
Blendown cushion. Webbed seat.","UPH-418-033-A-1, UPH-418-033-A-2, UPH-418-033-A-3, UPH-418-033-A-4, UPH-418-033-A-5, UPH-418-033-A-6",34,32.75,48.25
UPH-CHAWOO-84B,Caracole The Cat's Meow Chair,Caracole,Furniture > Living > Occasional Chairs,2510,1656.6,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch

DIMENSIONS (IN):
30W x 32D x 32H in

DIMENSIONS (CM):
76.2W x 81.28D x 81.28H cm

SEAT WIDTH:
21

SEAT DEPTH:
22.5

SEAT HEIGHT:
20.25

ARM HEIGHT:
26

CARTON DIMENSIONS:
36.000W x 37.000D x 37.200H in

WEIGHT:
70.4 pounds

PRODUCT OVERVIEW:
It's never been easier to embrace fashion-forward style in a big way than with this stunning chair. Designed to be a topic of conversation and destined to be where everyone wants to sit, its bold presence is iconic and inviting. Dressed in a sumptuous midnight blue velvet as intriguing as the night sky, this statement piece features a tufted back and is trimmed in Warm Silver paint with Champagne Gold brackets that lend another layer of luxury-rendering it the cat's meow.
FEATURES:
Metal brackets finished in Champagne Gold. Loose seat cushion. Tight button-tufted back.
CONSTRUCTION:
Spring down cushion. 8-Way hand tied seat.","UPH-CHAWOO-84B-1, UPH-CHAWOO-84B-2, UPH-CHAWOO-84B-3, UPH-CHAWOO-84B-4",30,32,32
UPH-SOFWOO-23B,Caracole The Cat's Meow Sofa,Caracole,Furniture > Living > Sofas,5045,3329.7,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch

DIMENSIONS (IN):
76W x 36.5D x 33.25H in

DIMENSIONS (CM):
193.04W x 92.71D x 84.46H cm

SEAT WIDTH:
66

SEAT DEPTH:
23

SEAT HEIGHT:
20.5

ARM HEIGHT:
26

CARTON DIMENSIONS:
81.900W x 41.500D x 37.200H in

WEIGHT:
167.2 pounds

PRODUCT OVERVIEW:
It's never been easier to embrace fashion-forward style in a big way than with this stunning sofa. Designed to be a topic of conversation and destined to be where everyone wants to sit, its bold presence is iconic and inviting. Dressed in a sumptuous midnight blue velvet as intriguing as the night sky, this statement piece features a tufted back, bench cushion, and two coordinating bolster pillows. It's trimmed in Warm Silver paint with Champagne Gold brackets that lend another layer of luxury-rendering it the cat's meow.
FEATURES:
Metal brackets finished in Champagne Gold. Loose bench seat cushion. Tight tufted back.
CONSTRUCTION:
Spring down cushion. 8-Way hand tied seat. Blend down bolsters.","UPH-SOFWOO-23B-1, UPH-SOFWOO-23B-2, UPH-SOFWOO-23B-3, UPH-SOFWOO-23B-4, UPH-SOFWOO-23B-5",76,36.5,33.25
UPH-418-SEC1-A,Caracole Three's Company LAF Chaise; RAF Chaise,Caracole,Furniture > Living > Sofas,7840,5174.4,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch, Stainless Steel

DIMENSIONS (IN):
128W x 48D x 32.5H in

DIMENSIONS (CM):
325.12W x 121.92D x 82.55H cm

SEAT WIDTH:
118

SEAT DEPTH:
23

SEAT HEIGHT:
19.5

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
This regal sectional makes a dramatic showpiece that emanates glamour. Upholstered in a shadow grey velvet, its curved profile is complemented by sumptuous comfort. Reflecting the gracious elegance of the Hollywood Regency era, it features a shapely back button-tufted with vertical, cuff link-inspired gold metal bars. Its lower edge and outer arms are trimmed in Almost Black while its metal tapered feet are finished in Champagne Gold. Artful from edge to edge, this statement piece creates drama wherever it goes.
FEATURES:
Consists of: UPH-418-LH1-A and UPH-418-RH1-A. Metal leg finished in Champagne Gold. Loose seat cushions. Tufted inback with metal button finished in Champagne Gold.
CONSTRUCTION:
Springdown cushion. 8-Way hand tied seat. Feather down pillows.","UPH-418-SEC1-A-1, UPH-418-SEC1-A-2, UPH-418-SEC1-A-3",128,48,32.5
UPH-418-SEC3-A,Caracole Three's Company Right Arm,Caracole,Furniture > Living > Sofas,7840,5174.4,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch, Stainless Steel

DIMENSIONS (IN):
128W x 49.75D x 32.5H in

DIMENSIONS (CM):
325.12W x 126.37D x 82.55H cm

SEAT WIDTH:
112

SEAT DEPTH:
23

SEAT HEIGHT:
25

ARM HEIGHT:
25

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
This regal sectional makes a dramatic showpiece that emanates glamour. Upholstered in a shadow grey velvet, its curved profile is complemented by sumptuous comfort. Reflecting the gracious elegance of the Hollywood Regency era, it features a shapely back button-tufted with vertical, cuff link-inspired gold metal bars. Its lower edge and outer arms are trimmed in Almost Black while its metal tapered feet are finished in Champagne Gold. Artful from edge to edge, this statement piece creates drama wherever it goes.
FEATURES:
Consists of: UPH-418-LH1-A and UPH-418-RL1-A. Metal leg finished in Champagne Gold. Loose seat cushions. Tufted inback with metal button finished in Champagne Gold.
CONSTRUCTION:
Springdown cushion. 8-Way hand tied seat. Feather down pillows.","UPH-418-SEC3-A-1, UPH-418-SEC3-A-2, UPH-418-SEC3-A-3, UPH-418-SEC3-A-4, UPH-418-SEC3-A-5",128,49.75,32.5
UPH-418-SEC4-A,Caracole Three's Company Left Arm,Caracole,Furniture > Living > Sofas,7840,5174.4,"PORTFOLIO:
CARACOLE

MATERIAL:
Birch, Stainless Steel

DIMENSIONS (IN):
128W x 49.75D x 32.5H in

DIMENSIONS (CM):
325.12W x 126.37D x 82.55H cm

SEAT WIDTH:
112

SEAT DEPTH:
23

SEAT HEIGHT:
19.5

ARM HEIGHT:
25

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
This regal sectional makes a dramatic showpiece that emanates glamour. Upholstered in a shadow grey velvet, its curved profile is complemented by sumptuous comfort. Reflecting the gracious elegance of the Hollywood Regency era, it features a shapely back button-tufted with vertical, cuff link-inspired gold metal bars. Its lower edge and outer arms are trimmed in Almost Black while its metal tapered feet are finished in Champagne Gold. Artful from edge to edge, this statement piece creates drama wherever it goes.
FEATURES:
Consists of: UPH-418-RH1-A and UPH-418-LL1-A. Metal leg finished in Champagne Gold. Loose seat cushions. Tufted inback with metal button finished in Champagne Gold.
CONSTRUCTION:
Springdown cushion. 8-Way hand tied seat. Feather down pillows.","UPH-418-SEC4-A-1, UPH-418-SEC4-A-2, UPH-418-SEC4-A-3",128,49.75,32.5
CLA-419-284,Caracole Inner Circle At The Table,Caracole,Furniture > Dining > Dining Chairs,1640,1082.4,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
22.5W x 18.5D x 33H in

DIMENSIONS (CM):
57.15W x 46.99D x 83.82H cm

SEAT WIDTH:
19.375

SEAT DEPTH:
20

SEAT HEIGHT:
19

CARTON DIMENSIONS:
32.500W x 22.500D x 40.900H in

WEIGHT:
24.8 pounds

PRODUCT OVERVIEW:
Add a measure of romance to your dining room with the modern charm of this distinctive chair. It's round back is both supportive and stunning-featuring an exquisite contemporized Moroccan pattern highlighted in polished stainless steel. Shapely legs and an upholstered seat ensure its lasting comfort for leisurely dinners and lingering conversations.
FEATURES:
Frame finished in polished stainless steel. Upholstered seat.

* MINIMUM PURCHASE: 2","CLA-419-284-1, CLA-419-284-2, CLA-419-284-3, CLA-419-284-4",22.5,18.5,33
CLA-419-304,Caracole Inner Circle At The Bar,Caracole,Furniture > Dining > Barstools & Counterstools,2015,1329.9,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
22.5W x 16D x 43H in

DIMENSIONS (CM):
57.15W x 40.64D x 109.22H cm

SEAT WIDTH:
18

SEAT DEPTH:
18

SEAT HEIGHT:
30

CARTON DIMENSIONS:
22.800W x 20.500D x 29.100H in

WEIGHT:
37.26 pounds

PRODUCT OVERVIEW:
Make a stylish statement at your bar with this impressive stool. It's round back is both supportive and stunning-featuring an exquisite contemporized Moroccan pattern highlighted in polished stainless steel. With a style that will enhance the look of the room and a memory swivel, you'll wonder how you ever lived without this barstool.
FEATURES:
Frame finished in polished stainless steel. Upholstered seat. Memory swivel.

* MINIMUM PURCHASE: 2
","CLA-419-304-1, CLA-419-304-2, CLA-419-304-3",22.5,16,43
CLA-419-314,Caracole Inner Circle To The Counter,Caracole,Furniture > Dining > Barstools & Counterstools,1915,1263.9,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
22.5W x 16D x 38H in

DIMENSIONS (CM):
57.15W x 40.64D x 96.52H cm

SEAT WIDTH:
18

SEAT DEPTH:
18

SEAT HEIGHT:
24

CARTON DIMENSIONS:
22.800W x 20.500D x 23.200H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Take style to new heights at your counter with this distinctive stool. It's round back is stunning yet supportive and features an intriguing contemporized Moroccan pattern accentuated with a polished stainless steel finish. Sure to enhance the look of the room and boasting a memory swivel, you'll wonder how you ever lived without this counter stool.
FEATURES:
Frame finished in polished stainless steel. Upholstered seat. Memory swivel.


* MINIMUM PURCHASE: 2","CLA-419-314-1, CLA-419-314-2, CLA-419-314-3",22.5,16,38
CLA-419-285,Caracole Royal Klismos At The Table,Caracole,Furniture > Dining > Dining Chairs,1746,1152.36,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
22.25W x 23.5D x 32.25H in

DIMENSIONS (CM):
56.52W x 59.69D x 81.92H cm

SEAT WIDTH:
19.25

SEAT DEPTH:
20

SEAT HEIGHT:
19

CARTON DIMENSIONS:
25.200W x 33.850D x 41.000H in

WEIGHT:
25.35 pounds

FEATURES:
Chair frame and stretcher finished in plated Whisper of Gold. Upholstered seat.

* MINIMUM PURCHASE: 2","CLA-419-285-1, CLA-419-285-2, CLA-419-285-3, CLA-419-285-4",22.25,23.5,32.25
CLA-419-305,Caracole Royal Klismos At The Bar,Caracole,Furniture > Dining > Barstools & Counterstools,2405,1587.3,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
22.25W x 21.5D x 43.5H in

DIMENSIONS (CM):
56.52W x 54.61D x 110.49H cm

SEAT WIDTH:
18

SEAT DEPTH:
18

SEAT HEIGHT:
30

CARTON DIMENSIONS:
23.000W x 24.400D x 29.100H in

WEIGHT:
41.45 pounds

PRODUCT OVERVIEW:
Add five-star style to your bar with this chic stool. A plated Whisper of Gold finish accentuates its bold curves and elegant detailing. It boasts a Klismos shape combined with open metalwork featuring the signature Caracole quatrefoil pattern. A faux shagreen upholstered seat adds another layer of comfort, as does its memory swivel feature. All that's left to do is to sit back and enjoy!
FEATURES:
Chair frame and stretcher finished in plated Whisper of Gold. Upholstered seat. Memory Swivel seat.

* MINIMUM PURCHASE: 2","CLA-419-305-1, CLA-419-305-2, CLA-419-305-3, CLA-419-305-4",22.25,21.5,43.5
CLA-419-315,Caracole Royal Klismos At The Counter,Caracole,Furniture > Dining > Barstools & Counterstools,2145,1415.7,"PORTFOLIO:
CARACOLE

MATERIAL:
Stainless Steel

DIMENSIONS (IN):
22.25W x 21.5D x 36H in

DIMENSIONS (CM):
56.52W x 54.61D x 91.44H cm

SEAT WIDTH:
18

SEAT DEPTH:
18

SEAT HEIGHT:
24

CARTON DIMENSIONS:
23.000W x 24.400D x 23.200H in

WEIGHT:
38.58 pounds

PRODUCT OVERVIEW:
A five-star favorite, this elegant counter stool will be an instant standout in any dining area. It features a plated Whisper of Gold finish complemented by bold curves and elegant detailing. A Klismos shape gives it classic appeal while its open metalwork design reflects the signature Caracole quatrefoil pattern. The faux shagreen upholstered seat adds style and comfort while its memory swivel feature is sure to impress.
FEATURES:
Chair frame and stretcher finished in plated Whisper of Gold. Upholstered seat. Memory Swivel seat.

* MINIMUM PURCHASE: 2","CLA-419-315-1, CLA-419-315-2, CLA-419-315-3, CLA-419-315-4",22.25,21.5,36
CON-SIDCHA-003,Caracole A La Carte,Caracole,Furniture > Dining > Dining Chairs,1665,1098.9,"PORTFOLIO:
CARACOLE

MATERIAL:
Walnut Solids

DIMENSIONS (IN):
23W x 26.5D x 39H in

DIMENSIONS (CM):
58.42W x 67.31D x 99.06H cm

SEAT WIDTH:
18.5

SEAT DEPTH:
19

SEAT HEIGHT:
19.75

ARM HEIGHT:
22.75

CARTON DIMENSIONS:
37.680W x 26.260D x 53.110H in

WEIGHT:
49.5 pounds

PRODUCT OVERVIEW:
*AVAILABLE IN CARACOLE COUTURE CUSTOM UPHOLSTERY PROGRAM* This is a great go-to chair for a wide variety of dining tables. The A La Carte chair is upholstered in a neutral linen fabric with an Almost Black leg that is accessorized with a sharp silver ferrule. The tall back makes this an exceptionally comfortable seat for a lengthy dinner party. Feel free to dress it up or down. It's your choice!
FEATURES:
Fully upholstered chair with wood base with #9 chrome nail head trim. Zinc Alloy metal ferrules. Chairs are individually priced. Chairs are packaged and sold 2 per carton.

* MINIMUM PURCHASE: 2","CON-SIDCHA-003-1, CON-SIDCHA-003-2, CON-SIDCHA-003-3, CON-SIDCHA-003-4, CON-SIDCHA-003-5, CON-SIDCHA-003-6, CON-SIDCHA-003-7",23,26.5,39
SIG-416-282,Caracole The Sophisticates Dining Chair,Caracole,Furniture > Dining > Dining Chairs,3170,2092.2,"PORTFOLIO:
Caracole Signature

MATERIAL:
Birch Solids and Birch Veneers

DIMENSIONS (IN):
21.5W x 25.5D x 42H in

DIMENSIONS (CM):
54.61W x 64.77D x 106.68H cm

SEAT WIDTH:
21

SEAT DEPTH:
17.5

SEAT HEIGHT:
21

CARTON DIMENSIONS:
25.980W x 30.510D x 45.280H in

WEIGHT:
46.3 pounds

PRODUCT OVERVIEW:
Haute couture finds its way into the equestrian elegance of this beautiful dining side chair. The high back of this softly winged chair is artfully tailored in creme velvet and beautifully appointed with a contemporary gold horseshoe handle at its top back. The gently curved wood legs are tipped with gold metal ferrules in the front. This is a sumptuous chair that pairs beautifully with traditional, as well as, contemporary dining settings.
FEATURES:
Metal ferrule. Decorative metal pull on back of chair.

* MINIMUM PURCHASE: 2
","SIG-416-282-1, SIG-416-282-2, SIG-416-282-3, SIG-416-282-4, SIG-416-282-5",21.5,25.5,42
