sku,Name,Brand,Categories,MSRP,Sale Price,Description,Images,Length,Width,Height
"CLA-017-032
","Caracole Pull It All Together Dresser
",Caracole,Furniture > Bedroom > Dressers,5550,3663,"PORTFOLIO:
CARACOLE

WEIGHT:
324 pounds

MATERIAL:
Birch, Maple

DIMENSIONS (IN):
66.5W x 20D x 40H in

DIMENSIONS (CM):
168.91W x 50.8D x 101.6H cm

CARTON DIMENSIONS:
70.000W x 23.900D x 44.800H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Destined to be an heirloom, this triple dresser is truly something special. It features an exquisite silkscreen design painted on its shaped top. Twelve spacious soft-close drawers make it easy to keep everything in place, while its classic design features a luxurious Radiant Pearl finish with Sparkling Argent accents on select moldings. The overall effect is one of timeless luxury and everyday elegance.","CLA-017-032-1, CLA-017-032-2, CLA-017-032-3, CLA-017-032-4
",66.5,20,40
"CLA-019-011
",Caracole Naturally Dresser,Caracole,Furniture > Bedroom > Dressers,4095,2702.7,"PORTFOLIO:
CARACOLE

WEIGHT:
257 pounds

MATERIAL:
Ash, Quarter Ash

DIMENSIONS (IN):
74W x 19D x 34H in

DIMENSIONS (CM):
187.96W x 48.26D x 86.36H cm

CARTON DIMENSIONS:
77.380W x 22.250D x 38.630H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Destined to be the focal point of the room, there's no denying this six-drawer dresser is ready to ""WOW."" With a simple silhouette and clean lines, its design highlights the inherent beauty of natural materials. Perfectly matched directional woodgrain veneers create a one-of-a-kind chevron pattern that attracts the eye and creates an understated design statement. An easygoing shade of Ash Driftwood brings out the beauty of these stunning veneers and is sure to complement your room's decor. The subtle sparkle of a bead of Sundance Gold gives the top edge a touch of luxe. Open any drawer and you'll find a fully finished interior, wearing an elegant shade of Putty, ready for a few of your favorite things.","CLA-019-011-1, CLA-019-011-2, CLA-019-011-3, CLA-019-011-4, CLA-019-011-5
",74,19,34
"CLA-019-031
",Caracole Love At First Sight Dresser,Caracole,Furniture > Bedroom > Dressers,5125,3382.5,"PORTFOLIO:
CARACOLE

WEIGHT:
282 pounds

MATERIAL:
Birch, Maple

DIMENSIONS (IN):
74W x 19D x 35H in

DIMENSIONS (CM):
187.96W x 48.26D x 88.9H cm

CARTON DIMENSIONS:
78.000W x 23.000D x 40.000H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
As rare as Love at First Sight, you're sure to find this dazzling dresser is a dream come true. Representing the ultimate combination of form and function, it creates a space worthy of your finest jewelry and clothing. Inside its top drawer you'll find a gorgeous agate printed interior as well as 4-inch wide divided jewelry trays; the remaining drawers are also completely finished and wear Matte Pearl. The gracefully rounded profile of its fashion-forward design adds visual appeal to any space and is accentuated with exquisite fluted drawer fronts, metal band detailing, designer legs, and a sophisticated finish palette of Whisper of Gold and Matte Pearl.","CLA-019-031-1, CLA-019-031-2, CLA-019-031-3
",74,19,35
"CLA-416-011
","Caracole Dress For Success Dresser
",Caracole,Furniture > Bedroom > Dressers,5205,3435.3,"PORTFOLIO:
CARACOLE

WEIGHT:
268.39 pounds

MATERIAL:
Pine Solids and Quartered Oak Veneers

DIMENSIONS (IN):
68W x 19D x 36H in

DIMENSIONS (CM):
172.72W x 48.26D x 91.44H cm

CARTON DIMENSIONS:
71.900W x 23.900D x 41.300H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
This dresser brings the classic chevron pattern roaring into the new century. Inspired by an elevator at a Ritz Carlton hotel, the quarter-sawn oak drawers are softly curved, and inlaid with a chevron pattern and finished in warm Heron Grey. The top center drawer pulls out and drops down to create a writing surface. The bank of oak drawers resides inside a crisp, Wedding Dress White frame that sits atop elegantly tapered legs. This piece flawlessly crosses generations with its updated appeal.","CLA-416-011-1, CLA-416-011-2, CLA-416-011-3, CLA-416-011-4
",68,19,36
"CLA-417-031
",Caracole Made To Shine Dresser,Caracole,Furniture > Bedroom > Dressers,6235,4115.1,"PORTFOLIO:
CARACOLE

WEIGHT:
312.39 pounds

MATERIAL:
Pine, Birch, Silver Curly Maple

DIMENSIONS (IN):
72W x 19D x 38H in

DIMENSIONS (CM):
182.88W x 48.26D x 96.52H cm

CARTON DIMENSIONS:
75.900W x 23.500D x 42.500H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
The ultimate expression of style, this nine-drawer design will add signature glamour to an interior. Its harmonious appearance creates a sophisticated effect with a soft palette of shimmering finishes of Moonlit Sand over Silver Curly Maple, and Soft Silver Leaf accents on its front frame and base. Lightly Brushed Chrome metal ferrules lends a touch of reflectivity.","CLA-417-031-1, CLA-417-031-2, CLA-417-031-3, CLA-417-031-4
",72,19,38
"CLA-417-032
","Caracole All Dressed Up Dresser
",Caracole,Furniture > Bedroom > Dressers,6535,4313.1,"PORTFOLIO:
CARACOLE

WEIGHT:
385 pounds

MATERIAL:
Birch, Koto

DIMENSIONS (IN):
76W x 19D x 36H in

DIMENSIONS (CM):
193.04W x 48.26D x 91.44H cm

CARTON DIMENSIONS:
79.800W x 23.100D x 40.500H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Abundantly graceful, this nine-drawer dresser will elevate the design quotient of any space. Its balanced silhouette is distinguished by Koto panels in Champagne Shimmer and highlighted with Taupe Paint inside and out. Look in the top left drawer and find an ultra-functional jewelry tray that makes it easy to find favorites. Yet it's the remarkable drawer pulls crafted from insets of dark Mother of Pearl and highlighted with a Whisper of Gold finish that distinguish this gorgeous masterpiece.","CLA-417-032-1, CLA-417-032-2, CLA-417-032-3",76,19,36
"CLA-418-011
",Caracole In My Drawers Dresser,Caracole,Furniture > Bedroom > Dressers,5265,3474.9,"PORTFOLIO:
CARACOLE

WEIGHT:
294 pounds

MATERIAL:
Birch, Bleached Block Mottled Anegre

DIMENSIONS (IN):
68W x 19D x 38H in

DIMENSIONS (CM):
172.72W x 48.26D x 96.52H cm

CARTON DIMENSIONS:
72.300W x 22.900D x 42.700H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Tailored to perfection, this classic case piece elevates storage in every way. Its perfect proportions convey understated glamour while effortlessly adding function to any bedroom. An elegant Platinum Blonde finish highlights its exotic mottled Anegre veneers while adding a delicate sheen to a room's palette. Seven drawers, each finished with an ivory painted interior, ensure that every sock, sweater and scarf has a place of its own.","CLA-418-011-1, CLA-418-011-2, CLA-418-011-3
",68,19,38
"CLA-419-011
","Caracole Wonder-full Dresser
",Caracole,Furniture > Bedroom > Dressers,6720,4435.2,"PORTFOLIO:
CARACOLE

WEIGHT:
310.2 pounds

MATERIAL:
Birch, Mirror, Maple

DIMENSIONS (IN):
72W x 20.5D x 38H in

DIMENSIONS (CM):
182.88W x 52.07D x 96.52H cm

CARTON DIMENSIONS:
75.900W x 24.500D x 42.900H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
With shapely curves and a rich mix of materials, it's no wonder this dresser is a designer favorite. Its six spacious drawers ensure you have a place to store everything while its fresh design combines classic and modern influences. Wearing a Golden Shimmer finish, it boasts a bronze mirrored top, end panels and post overlays. Dazzling jewelry-like drawer pulls and shaped legs add an element of glamour to complete the look of this unexpected beauty.","CLA-419-011-1, CLA-419-011-2, CLA-419-011-3
",72,20.5,38
"CLA-419-015
",Caracole Moonrise Dresser,Caracole,Furniture > Bedroom > Dressers,5270,3478.2,"PORTFOLIO:
CARACOLE

WEIGHT:
255.2 pounds

MATERIAL:
Birch, Maple

DIMENSIONS (IN):
60W x 19D x 35H in

DIMENSIONS (CM):
152.4W x 48.26D x 88.9H cm

CARTON DIMENSIONS:
63.900W x 22.700D x 40.100H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
Imagine a piece of furniture so thoughtfully designed it would work equally well in the dining room or bedroom-wouldn't it be as brilliant as a moonrise? You'll find it here in this elegantly versatile case piece highlighted in a softly pearlescent Oyster finish. Shimmering Capiz shells adorn its front and lend an element of modern coastal elegance. Perfect for the bedroom or the dining room, its shapely silhouette sits upon distinctive bamboo-inspired legs that convey modern sophistication. Peek inside its five drawers and behind its two doors and you'll discover plentiful storage and interiors finished in a soft shade of Oyster.","CLA-419-015-1, CLA-419-015-2, CLA-419-015-3, CLA-419-015-4
",60,19,35
"CLA-419-022
","Caracole Less Is More Dresser
",Caracole,Furniture > Bedroom > Dressers,3390,2237.4,"PORTFOLIO:
CARACOLE

WEIGHT:
265.1 pounds

MATERIAL:
Birch, Flat Cut Walnut

DIMENSIONS (IN):
52W x 20D x 37H in

DIMENSIONS (CM):
132.08W x 50.8D x 93.98H cm

CARTON DIMENSIONS:
55.800W x 24.100D x 41.300H in

CONFIGURE TYPE:
NORMAL

PRODUCT OVERVIEW:
A versatile addition to any room, the design of this piece feels slightly contemporary, yet is interpreted in elegant traditional materials. It wears a gorgeous Rich Walnut finish that highlights its natural wood grain and is accented with inset metal elements and pierced metal ferrules in Whisper of Gold. Look inside its fully finished drawers and you'll find interior dividers and jewelry organizers to make your favorite treasures easy to find. Behind its two doors are open storage compartments, a removable shelf and a pull-out tray designed to accommodate a printer or turntable. You're sure to enjoy this cabinet's timeless beauty and multifunctional nature.","CLA-419-022-1, CLA-419-022-2, CLA-419-022-3, CLA-419-022-4
",52,20,37
