sku,Name,Brand,Categories,Wholesale,Price,Description,Images
SS316-PH3-083,Hooker Furniture Living Room Brooks PWR Sofa w/PWR Headrest,Hooker Furniture,Seating > Sofas,2257,4965.4,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 85"" (215.9 cm) 
Depth: 41"" (104.1 cm) 
Height: 42"" (106.7 cm) 
Weight: 256 lb (115.2 kg)","SS316-PH3-083-1,
SS316-PH3-083-2,
SS316-PH3-083-3,
SS316-PH3-083-4"
SS387-03-087,Hooker Furniture Living Room Exton Stationary Sofa,Hooker Furniture,Seating > Sofas,1700,3740,"Exuding the ambience of the American West and the character of refined designer details, the Exton 3-over-3 Sofa is covered in the Aniline Top Grain Old English Saddle Leather with dark wood legs and accented by nailhead trim on the front of the arms and across the base. Developed by one of America's premier manufacturers to offer quality furniture at affordable prices. Each piece is meticulously hand-crafted using the most exquisite leathers in the world.

Width: 83"" (210.8 cm) 
Depth: 41 1/2"" (105.4 cm) 
Height: 36 1/2"" (92.7 cm) 
Weight: 159 lb (71.6 kg)","SS387-03-087-1,
SS387-03-087-2"
SS426-P3-085,Hooker Furniture Living Room Emerson Power Recliner Sofa w/PWR Headrest,Hooker Furniture,Seating > Sofas,2147,4723.4,"Warm up your home and reward yourself at the end of the day with the Emerson Power Recliner Sofa. While you're recharging with head-to-toe support from the power-activated waterfall chaise-pad ottoman, you can charge your phone in the USB port located in the power button. The aniline top-grain earthy brown leather is hand-wiped for a natural look, and the soft rounded arms are capped with a leather pad and trimmed with decorative welting and antique brass nails. Your neck and shoulders will appreciate the neck-roll back and power headrest. Developed by one of America's most famous and respected furniture manufacturers, Hooker Furniture Upholstery offers high quality leather at affordable prices.

Width: 81"" (205.7 cm) 
Depth: 39 1/4"" (99.7 cm) 
Height: 41 1/4"" (104.8 cm) 
Weight: 265 lb (119.2 kg)","SS426-P3-085-1,
SS426-P3-085-2,
SS426-P3-085-3,
SS426-P3-085-4"
SS434-GP3-082,Hooker Furniture Living Room Savion Grandier Power Recliner Sofa w/ Power Headrest,Hooker Furniture,Seating > Sofas,5445,11979,"Inspire awe with your family and friends, who will never believe a sofa as stunning as the Savion Grandier has two power reclining ends, and that each of the 3 seats features an adjustable headrest. The individually operated headrests invite you to lean back and relax your upper body while watching TV, reading or conversing, and the end seating units transform to recliners with a smooth power control button, offering exceptional comfort. Savion blends classic elegance with modern flair, combining traditional button-tufted tailoring with a sleek profile back. The beautiful Giovanni Taupe leather cover is finished for stain protection and is hand wiped, giving each piece authenticity and sophisticated appeal. Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 124"" (315 cm) 
Depth: 43"" (109.2 cm) 
Height: 30"" (76.2 cm) 
Weight: 449.25 lb (202.2 kg)","SS434-GP3-082-1,
SS434-GP3-082-2,
SS434-GP3-082-3,
SS434-GP3-082-4"
SS434-1.5RL-P-PH-089,Hooker Furniture Living Room Savion 1.5 LAF/RAF 2 over 2 Sofa w/PWR Rec PWR HR,Hooker Furniture,Seating > Sofas,4082,8980.4,"Inspire awe with your family and friends, who will never believe a sofa as stunning as the Savion has two power recliners, and that each of the 2 seats features an adjustable headrest. The individually operated headrests invite you to lean back and relax your upper body while watching TV, reading or conversing, and the seating units transform to recliners with a smooth power control button, offering exceptional comfort. Savion blends classic elegance with modern flair, combining traditional button-tufted tailoring with a sleek profile back. The warm brown Saddlebag Lodge leather cover is finished for stain protection and is hand wiped, offering authenticity and sophisticated appeal. Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 89"" (226.1 cm) 
Depth: 43"" (109.2 cm) 
Height: 30"" (76.2 cm) 
Weight: 350.08 lb (157.5 kg)","SS434-1.5RL-P-PH-089-1,
SS434-1.5RL-P-PH-089-2,
SS434-1.5RL-P-PH-089-3,
SS434-1.5RL-P-PH-089-4"
SS434-GP3-096,Hooker Furniture Living Room Savion Grandier Sofa w/PWR Recline PWR Headrest,Hooker Furniture,Seating > Sofas,5445,11979,"Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 124"" (315 cm) 
Depth: 43"" (109.2 cm) 
Height: 30"" (76.2 cm) 
Weight: 449.25 lb (202.2 kg)","SS434-GP3-096-1,
SS434-GP3-096-2,
SS434-GP3-096-3,
SS434-GP3-096-4"
SS454-GP3-088,Hooker Furniture Living Room Chatelain 3-Piece Power Sofa with Power Headrest,Hooker Furniture,Seating > Sofas,4455,9801,"Attracting consumers looking for aspirational designs to elevate their spaces, Aspire by Hooker Upholstery offers a variety of sophisticated styles with subtle, yet striking design details. Aspire incorporates stylish details such as channeling, wood trims, braided leather welts, and laced leather trims as well as sophisticated forms that conceal the unexpected function of power motion furniture.

Width: 124"" (315 cm) 
Depth: 42 1/2"" (108 cm) 
Height: 29 1/2"" (74.9 cm) 
Weight: 563.26 lb (253.5 kg)","SS454-GP3-088-1,
SS454-GP3-088-2,
SS454-GP3-088-3,
SS454-GP3-088-4"
SS454-GP3-097,Hooker Furniture Living Room Chatelain 3-Piece Power Sofa with Power Headrest (Dark,Hooker Furniture,Seating > Sofas,4455,9801,"Attracting consumers looking for aspirational designs to elevate their spaces, Aspire by Hooker Upholstery offers a variety of sophisticated styles with subtle, yet striking design details. Aspire incorporates stylish details such as channeling, wood trims, braided leather welts, and laced leather trims as well as sophisticated forms that conceal the unexpected function of power motion furniture.

Width: 124"" (315 cm) 
Depth: 42 1/2"" (108 cm) 
Height: 29 1/2"" (74.9 cm) 
Weight: 563.26 lb (253.5 kg)","SS454-GP3-097-1,
SS454-GP3-097-2,
SS454-GP3-097-3,
SS454-GP3-097-4"
SS468-P3-088,Hooker Furniture Living Room Poise Power Reclinre Sofa w/ Power Headrest,Hooker Furniture,Seating > Sofas,2178,4791.6,"Relaxed but refined, the Poise Power Reclining Sofa lives up to its name, combining features like hand-laced seams and keyhole-shaped arms with bucket seats that easily conform to your body for sink-in-me comfort. The neck-roll backs, along with the power headrests, provide comfort and support for your upper body, and the power recline feature on each end seat allows nearly unlimited positioning. The rich brown Venerando Latte waxed aniline leather has a heavyweight grain texture and natural variations for authenticity. Hooker Furniture Upholstery is a designer-inspired collection of upscale leather seating that includes versatile reclining chairs, modern-day reclining sofas, eclectic club and artisan accent chairs, as well as a selection of executive desk chairs for the home. Designed and curated to appeal to a variety of style tastes, each piece from Hooker Furniture Upholstery is meticulously crafted in a unique selection of textures and hues.

Width: 83 1/4"" (211.5 cm) 
Depth: 40 3/4"" (103.5 cm) 
Height: 41 3/4"" (106 cm) 
Weight: 262 lb (117.9 kg)","SS468-P3-088-1,
SS468-P3-088-2,
SS468-P3-088-3,
SS468-P3-088-4,
SS468-P3-088-5"
SS519-03-087,Hooker Furniture Living Room Yates Stationary Sofa,Hooker Furniture,Seating > Sofas,2314,5090.8,"Developed by one of America's premier manufacturers to offer quality furniture at affordable prices. Each piece is meticulously hand-crafted using the most exquisite leathers in the world.

Width: 92 1/2"" (235 cm) 
Depth: 41 1/2"" (105.4 cm) 
Height: 35 1/2"" (90.2 cm) 
Weight: 241 lb (108.4 kg)","SS519-03-087-1,
SS519-03-087-2"
