sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height,
8266-34,Maitland Smith Firenze Chiffonier,Maitland Smith,Chests,7995,30%,5596.5,"8266-34 - FIRENZE CHIFFONIER
W: 165 cm D: 33 cm H: 94 cm 
Mirror Inlaid Console with Silver Gilt Finish and Gold Gilded Highlights
Weight: 138.3kg","8266-34-1,
8266-34-2",,,,
88-0113,Maitland Smith Ensemble Nightstand,Maitland Smith,Nightstands,3897,30%,2727.9,"88-0113 - ENSEMBLE NIGHTSTAND (C-EN13)
W: 81 cm D: 56 cm H: 76 cm 
New Intro: Fall 2021
Oval Mahogany Wood nightstand finished in Mahogany and wrapped with Linen is crowned by a 5mm beveled glass top. A textured combination of Matte Nickel and Polished Nickel vertical pulls open 3 sliding drawers.
Weight: 46.3kg",88-0113-1,,,,
88-0312,Maitland Smith Lyric Nightstand,Maitland Smith,Nightstands,2490,30%,1743,"88-0312 - LYRIC NIGHTSTAND (C-LY12)
W: 71 cm D: 46 cm H: 71 cm 
New Intro: Fall 2021
Mahogany Wood nightstand is wrapped in Ropey Cherry Veneer with Lyric finish. Stainless Steel trim is finished in Satin Brass. Inset 5mm Black Glass top. Satin Brass hardware with Antique Mirror details open two functioning sliding drawers.
Weight: 44.0kg","88-0312-1,
88-0312-2",,,,
8102-51,Maitland Smith Demi Chiffonier,Maitland Smith,Chests,3987,30%,2790.9,"8102-51 - DEMI CHIFFONIER
W: 81 cm D: 48 cm H: 81 cm 
Regency Finished Mahogany Chiffonier, Tapered Leg, Crotch Veneer, Satinwood Inlay
Weight: 42.6kg",8102-51-1,,,,
8150-51,Maitland Smith Luna Chiffonier,Maitland Smith,Chests,5097,30%,3567.9,"8150-51 - LUNA CHIFFONIER
W: 113 cm D: 46 cm H: 102 cm 
Brass acccents and gold leaf finish with one adjustable shelf.
Weight: 77.1kg","8150-51-1,
8150-51-2,
8150-51-3,
8150-51-4,
8150-51-5",,,,
88-0112 ,Maitland Smith Aria Nightstand,Maitland Smith,Nightstands,3597,30%,2517.9,"88-0112 - ARIA NIGHTSTAND (C-AR12)
W: 81 cm D: 51 cm H: 76 cm 
New Intro: Fall 2021
Mahogany Wood wrapped in Mahogany and White Ash veneer is finished in Aria with a Polished Madeira marble top. Trimmed in Aged Gold, three functioning drawers are opened using a delicate combination of Polished Brass and Polished Nickel hardware.
Weight: 72.1kg","88-0112-1,
88-0112-2",,,,
88-0213,Maitland Smith Aira Two-Door Nightstand,Maitland Smith,Nightstands,2997,30%,2097.9,"88-0213 - ARIA TWO-DOOR NIGHTSTAND (C-AR13)
W: 71 cm D: 51 cm H: 79 cm 
New Intro: Fall 2021
Mahogany Solids wrapped in Mahogany veneer and finished in Aria. Trimmed in Aged gold, the top and door of this nightstand are plated in 5mm antiqued Regency Glass in a diamond tile pattern. Polished Brass and Nickel hardware open the front door panels. Fixed shelves inside.
Weight: 66.2kg","88-0213-1,
88-0213-2",,,,
8155-51,Maitland Smith Tiled Chiffonier,Maitland Smith,Chests,3237,30%,2265.9,"8155-51 - TILED CHIFFONIER
W: 102 cm D: 51 cm H: 82 cm 
Art deco credenza with artic grey finish on cerused oak with stainless steel inlay and one adjustable shelf
Weight: 64.4kg","8155-51-1,
8155-51-2,
8155-51-3",,,,
8156-51,Maitland Smith Blossom Chiffonier,Maitland Smith,Chests,6447,30%,4512.9,"8156-51 - BLOSSOM CHIFFONIER
W: 198 cm D: 46 cm H: 92 cm 
Gray lacquered walnut chiffonier with hand waxing, capiz shell and nickel accents
Weight: 117.9kg","8156-51-1,8156-51-2,8156-51-3,
8156-51-4",,,,
8151-51,Maitland Smith Arbor Chiffonier,Maitland Smith,Chests,6447,30%,4512.9,"8151-51 - ARBOR CHIFFONIER
W: 198 cm D: 46 cm H: 92 cm 
Bleach Walnut Chiffonier with Hand Waxing, Capiz Shell and Brass Accents
Weight: 122.0kg",8151-51-1,,,,
HM1287,Maitland Smith San Juan Chest of Drawers,Maitland Smith,Chests,4287,30%,3000.9,"HM1287 - SAN JUAN CHEST OF DRAWERS
W: 102 cm D: 51 cm H: 91 cm 
Antique Gold and Azure Blue Lacquer Finished San Juan Chest of Drawers
Weight: 85.3kg",HM1287-1,,,,
88-0207,Maitland Smith Lyric Desk,Maitland Smith,Desks,3150,30%,2205,"88-0207 - LYRIC DESK (C-LY07)
W: 142 cm D: 71 cm H: 76 cm 
New Intro: Fall 2021
Mahogany Wood desk is wrapped in Ropey Cherry Veneer with Lyric finish. Dark geometric inlays on the top emerge from the veneer’s natural starburst pattern. Ferules and trim are finished in Satin Brass. Satin Brass hardware with Antique Mirror detail opens the desk’s 1 sliding drawer.
Weight: 59.0kg","88-0207-1,
88-0207-2",,,,
88-0107,Maitland Smith Grand Traditions Desk,Maitland Smith,Desks,8397,30%,5877.9,"88-0107 - GRAND TRADITIONS DESK (GRT07)
W: 183 cm D: 71 cm H: 79 cm 
New Intro: Fall 2021
Mahogany Wood wrapped in Ropey Cherry Veneer desk finished in Noche features veneer top and inset panels in Havana. Trimmed in Aged Gold, handmade carvings on legs, drawer faces, and every corner of the frame add personalized elegance to the body of this desk. Three sliding drawers open with Antique Brass hardware.
Weight: 63.5kg","88-0107-1,
88-0107-2,
88-0107-3",,,,
8107-53,Maitland Smith Presidential Desk,Maitland Smith,Desks,23597,30%,16517.9,"8107-53 - PRESIDENTIAL DESK
W: 185 cm D: 102 cm H: 76 cm 
Dark Burnished Laurel Burl and Crotch Veneer Desk, Leather Top, Brass Accents
Weight: 230.9kg",8107-53-1,,,,
RA1178ST-CAL-SLA,Maitland Smith Sammy St Desk Chair,Maitland Smith,Seating > Occasional Chairs,2337,30%,1635.9,"RA1178ST-CAL-SLA - SAMMY ST DESK CHAIR
W: 66 cm D: 86 cm H: 109 cm 
Sammy Swivel Tilt Desk Chair in Calvert Slate Leather Upholstery
Weight: 31.8kg",RA1178ST-CAL-SLA-1,,,,
RA2218ST-WAR-SPI,Maitland Smith Dean Swivel Tilt Desk Chair,Maitland Smith,Seating > Occasional Chairs,1887,30%,1320.9,"RA2218ST-WAR-SPI - DEAN SWIVEL TILT DESK CHAIR
W: 71 cm D: 81 cm H: 100 cm 
Dean Swivel Tilt Desk Chair in Warner Spice Leather Upholstery, Tack Accents
Weight: 36.7kg",RA2218ST-WAR-SPI-1,,,,
RA116ST-BRI-BAR,Maitland Johnson Swivel Tilt Desk Chair ,Maitland Smith,Seating > Occasional Chairs,1737,30%,1215.9,"RA116ST-BRI-BAR - JOHNSON SWIVEL TILT DESK CHAIR
W: 69 cm D: 81 cm H: 104 cm 
Johnson Swivel Tilt Desk Chair in Briston Bark Leather Upholstery, Tufted Back, Tack Accents
Weight: 36.3kg",RA116ST-BRI-BAR-1,,,,
RA1299ST-QUA-PEW,Maitland Smith Lail Swivel Chair Tilt Desk Chair,Maitland Smith,Seating > Occasional Chairs,2757,30%,1929.9,"RA1299ST-QUA-PEW - LAIL SWIVEL TILT DESK CHAIR 
W: 61 cm D: 83 cm H: 108 cm 
Lail Swivel Tilt Desk Chair in Quarry Pewter Leather Upholstery
Weight: 33.1kg",RA1299ST-QUA-PEW-1,,,,
RA1083ST-CAL-MOL,Maitland Smith Murphy Swivel Tilt Desk Chair,Maitland Smith,Seating > Occasional Chairs,2247,30%,1572.9,"RA1083ST-CAL-MOL - MURPHY SWIVEL TILT DESK CHAIR 
W: 71 cm D: 86 cm H: 117 cm 
Murphy Swivel Tilt Desk Chair in Calvert Molasses Leather
Weight: 40.8kg",RA1083ST-CAL-MOL-1,,,,
RA1845ST-ARI-IVO,Maitland Smith Craven Swivel Tilt Desk Chair,Maitland Smith,Seating > Occasional Chairs,1887,30%,1320.9,"RA1845ST-ARI-IVO - CRAVEN SWIVEL TILT DESK CHAIR
W: 61 cm D: 79 cm H: 102 cm 
Craven Swivel Tilt Desk Chair in Aris Ivory Leather, Tufted Back
Weight: 31.8kg",RA1845ST-ARI-IVO-1,,,,
RA111ST-BRI-OAK,Maitland Smith Merchant Swivel Tilt Desk Chair,Maitland Smith,Seating > Occasional Chairs,2097,30%,1467.9,"RA111ST-BRI-OAK - MERCHANT SWIVEL TILT DESK CHAIR RA111ST-BRI-OAK
W: 74 cm D: 84 cm H: 104 cm 
Merchant Swivel Tilt Desk Chair in Briston Oak Leather Upholstery, Tack Accents
Weight: 40.8kg",RA111ST-BRI-OAK-1,,,,
RA1280ST-QUA-GRA,Maitland Smith Zeb Swivel Tilt Desk Chair,Maitland Smith,Seating > Occasional Chairs,2757,30%,1929.9,"RA1280ST-QUA-GRA - ZEB SWIVEL TILT DESK CHAIR
W: 72 cm D: 84 cm H: 111 cm 
Zeb Swivel Tilt Desk Chair in Quarry Gray Stone Leather
Weight: 34.0",RA1280ST-QUA-GRA-1,,,,
RA114ST-WIP-CAR,Maitland Smith Kramer Swivel Tilt Desk Chair,Maitland Smith,Seating > Occasional Chairs,1947,30%,1362.9,"RA114ST-WIP-CAR - KRAMER SWIVEL TILT DESK CHAIR
W: 69 cm D: 86 cm H: 114 cm 
Kramer Swivel Tilt Desk Chair in Wipe Off Caramel Leather Upholstery, Tufted Back, Brass Tack Accents
Weight: 39.9kg",RA114ST-WIP-CAR-1,,,,
8111-41,Maitland Smith Wellington Cottage Armchair,Maitland Smith,Seating > Occasional Chairs,2109,30%,1476.3,"8111-41 - WELLINGTON COTTAGE ARMCHAIR
W: 66 cm D: 74 cm H: 122 cm 
Dark Wellington Cottage Finished Arm Chair with Leather and Paisley Fabric Upholstery
Weight: 28.1kg",8111-41-1,,,,
