sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
V2036D26C-GT,Elegant Lighting Maxime Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,612,"V2036D26C-GT/RC

Crystals:
Royal Cut

Crystal Color:
Golden Teak (Smoky)

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
14

Product Weight: 
54
",V2036D26C-GT-1,26,26,20
V2038D26C,Elegant Lighting Maxime Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,2616,"V2038D26C/EC

Crystals:
Elegant Cut

Crystal Color:
Clear 

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
18

Product Weight: 
60
",V2038D26C-1,26,26,35
V2038D26C-GT,Elegant Lighting Maxime Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,2388,"V2038D26C-GT/RC

Crystals:
Royal Cut

Crystal Color:
Golden Teak (Smoky)

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
18

Product Weight: 
60",V2038D26C-GT-1,26,26,35
V2038D30C,Elegant Lighting Maxime Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,3684,"V2038D30C/EC

Crystals:
Elegant Cut

Crystal Color:
Clear 

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
20

Product Weight: 
95
",V2038D30C-1,30,30,41
V2038D30C-GT,Elegant Lighting Maxime Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,3296,"V2038D30C-GT/RC

Crystals:
Royal Cut

Crystal Color:
Golden Teak (Smoky)

Finish: 
Chrome

Material: 
Steel & Crystal

Number of Bulbs: 
20

Product Weight: 
95
",V2038D30C-GT-1,30,30,41
9712D32PW-GT,Elegant Lighting Athena Chandelier Pewter Finish 12Lt,Elegant Lighting,Lighting > Chandeliers,1380,"9712D32PW-GT/RC

Athena Collection Chandelier Pewter Finish 12Lt

Athena Collection – Replicating the opulence of Victorian England this timeless design is beautifully etched brass offered in four finishes. Precision cut crystal completes this chandelier to fashion the perfect final touch. Together, they make the Athena Collection a piece of historical elegance to light your living space.

Crystals:
Royal Cut

Crystal Color:
Golden Teak (Smoky)

Dimensions:
D32""

Finish: 
Pewter

Material: 
Brass & Crystal

Max wattage: 
720

Number of Bulbs: 
12

Number of crystals: 
911

Product Weight: 
49

Style 
Traditional:",9712D32PW-GT-1,32,32,33
9712D32PW,Elegant Lighting Athena Chandelier Pewter Finish 12Lt,Elegant Lighting,Lighting > Chandeliers,4308,"9712D32PW/EC

Athena Collection Chandelier Pewter Finish 12Lt

Athena Collection – Replicating the opulence of Victorian England this timeless design is beautifully etched brass offered in four finishes. Precision cut crystal completes this chandelier to fashion the perfect final touch. Together, they make the Athena Collection a piece of historical elegance to light your living space.

Crystals: 
Elegant Cut 

Crystal Color: 
Clear

Dimensions:
D32""

Finish: 
Pewter

Material: 
Brass & Crystal

Max wattage: 
720

Number of Bulbs: 
12

Number of crystals: 
911

Product Weight: 
49

Style: 
Traditional",9712D32PW-1,32,32,33
2114G52C-RC,Elegant Lighting Paris 20-Light Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,2302,"2114G52C/RC

Paris 20 light Chrome Chandelier Clear Royal Cut Crystal

The Paris collection comes complete out of the box, the circular shaped frame done in our octagon crystals create a sense of wholeness. The detailed halo at the top of the fixture adds an element of intricacy to the already sophisticated design.

Crystals:
Royal Cut

Crystal Color:
Clear

Dimensions:
D52"" H7.1"" L20

Canopy dimension: 
12D x 2H

Finish: 
Chrome

Crystal/Glass Color: 
Clear

Material: 
Iron & Crystal

Style: 
Contemporary

Number of Bulbs: 
20

Product Weight: 
74.8",2114G52C-RC-1,52,52,7.2
2114G41C-RC,Elegant Lighting Paris 18-Light Chrome Chandelier,Elegant Lighting,Lighting > Chandeliers,1626,"2114G41C/RC

Paris 18 light Chrome Chandelier Clear Royal Cut Crystal

The Paris collection comes complete out of the box, the circular shaped frame done in our octagon crystals create a sense of wholeness. The detailed halo at the top of the fixture adds an element of intricacy to the already sophisticated design.

Dimensions :
Chain/Rod Length: 120""
Length: 41""
Width: 41""
Height: 5""
Maximum Height: 118""
Wire Length: 138""

Canopy dimension 
12W x 1L x 1.2D

Finish: 
Chrome

Crystal/Glass Color: 
Clear

Material: 
Iron & Crystal

Number of Bulbs: 
18

Product Weight: 
52.8

Style: 
Contemporary",2114G41C-RC-1,41,41,5
V2092D20C-RC,Elegant Lighting Influx 12-Light Chrome Pendant,Elegant Lighting,Lighting > Pendants,486,"V2092D20C/RC

Influx 12 light Chrome Pendant Clear Royal Cut Crystal

Dimensions:
D20"" H12"" L12

Finish: 
Chrome

Crystal/Glass Color: 
Clear

Material 
Iron, Aluminum, & Crystal

Number of Bulbs: 
12

Product Weight: 
23.1

Style: 
Contemporary","V2092D20C-RC-1, V2092D20C-RC-2, V2092D20C-RC-3, V2092D20C-RC-4",20,20,12
